RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Há Cảo & Dimsum - Dung Đại Gia 3 Con - Shop Online,10.8950335,106.79369,"39/2/80 Đường Thống Nhất, Khu Phố Nội Hoá 1, P. Bình An, Dĩ An, Bình Dương",Quán ăn,Dimsum,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
2,"TRÉ TRỘN, DIMSUM & GÀ Ủ MUỐI MÂY",10.8808931,106.6929592,"100/12 Đường Vĩnh Phú 38, Khu Phố Tây, P. Vĩnh Phú, Thuận An, Bình Dương",Quán ăn,"Dimsum ,  Ăn vặt - Ăn nhẹ ,  Nem",06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,,no,no,no,0 - 0,0.0,0.0,0.0,5.0,7
3,"Há Cảo, Bánh Bao & Dimsum Tú Quăn - Nguyễn An Ninh",,,"32 Nguyễn An Ninh, P. Dĩ An, Dĩ An, Bình Dương",,,,,,,,,,,,,,0 - 0,0.0,0.0,0.0,,
4,KUAI HotPot - Dimsum - Võ Thành Long,10.9790315,106.6561726,"32 Võ Thành Long, P. Phú Cường, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,"Lẩu ,  Cháo ,  Halal",09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,,no,no,no,35.000 - 289.000,0.0,0.0,0.0,3.5,10+
5,Dimsum Hào Ca 豪歌 - KDC Phú Hoà,10.974953,106.6762192,"169 Đường D1, Khu Dân Cư Phú Hoà 1, P. Phú Hòa, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,Dimsum,06:30 - 22:00,06:30 - 22:00,06:30 - 22:00,06:30 - 22:00,06:30 - 22:00,06:30 - 22:00,06:30 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,0.0,3
6,"Huỳnh Ký - Hủ Tiếu, Mì Tiềm & Dimsum",10.9892955,106.6717988,"104 Huỳnh Văn Luỹ, P. Phú Lợi, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,"Bún ,  Hủ tiếu ,  Mì ,  Miến",06:00 - 12:00,16:00 - 21:30,06:00 - 12:00,16:00 - 21:30,06:00 - 12:00,16:00 - 21:30,06:00 - 12:00,,no,no,no,22.000 - 55.000,0.0,0.0,0.0,4.5,10+
7,188 Hongkong Dimsum,10.978349,106.66074,"249 Thích Quảng Đức, P. Chánh Nghĩa, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,"Bún ,  Hủ tiếu ,  Mì ,  Dimsum ,  Cơm văn phòng ,  Cơm",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,"Món Á ,  Món Trung Hoa",no,yes,no,12.000 - 65.000,3.0,3.0,3.5,4.5,100+
