RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Ngọc Pizza - Bánh Pizza - 395 Hẻm 148 Đường Phan Trung,10.9619710000000,106.8495640000000,"395 Hẻm 148 Đường Phan Trung, P. Tân Tiến, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Hamburger ,  Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 23:59,10:00 - 23:59,10:00 - 23:59,10:00 - 23:59,10:00 - 23:59,10:00 - 23:59,10:00 - 23:59,"Bánh Pizza ,  Món Âu ,  Ý",no,no,no,0 - 0,0.0,0.0,0.0,4.5,500+
2,Gecko Pizza - Dương Tử Giang,10.9594631000000,106.8428819000000,"50 Dương Tử Giang, P. Tân Tiến , Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Thịt Bò ,  Beefsteak - Bò né ,  Pizza & Pasta",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Món Việt ,  Món Âu ,  Ý",yes,no,yes,40.000 - 230.000,8.8,8.5,7.4,4.5,999+
3,Pizza Hut - Go Tân Hiệp,10.9668751000000,106.8544442000000,"Vị Trí 1S15, 1135 Đường Nguyễn Ái Quốc, Khu Phố 2, P. Tân Hiệp, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,99.000 - 599.000,0.0,0.0,0.0,4.5,500+
4,Domino's Pizza - Phan Trung,10.9607340000000,106.8496920000000,"156 Phan Trung, P. Tân Mai, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,Quốc tế,no,no,yes,20.000 - 317.000,10.0,10.0,10.0,4.5,999+
5,Pizza Hut - Lotte Biên Hòa,10.9488111000000,106.8707190000000,"Tầng 5, Lô B03, Trung Tâm Thương Mại AMATA, Đường 1A, P. Long Bình, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Cơm Chiên ,  Pizza & Pasta ,  Cơm ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",yes,no,yes,40.000 - 165.000,6.4,6.5,6.5,4.5,999+
6,Pizza Hut - Hố Nai Biên Hòa,10.9721860000000,106.8734290000000,"646 Nguyễn Ái Quốc, P. Hố Nai, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Gà rán ,  Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Fastfood - Thức ăn nhanh",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,"Mỹ ,  Món Âu ,  Ý ,  Châu Mỹ",yes,no,yes,100.000 - 400.000,5.0,3.0,5.0,4.5,999+
7,The Pizza Company - Võ Thị Sáu Biên Hòa,10.9471343000000,106.8291818000000,"BIS 234 Võ Thị Sáu, P.Thống Nhất, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Gà rán ,  Bún ,  Mì ,  Miến ,  Pizza & Pasta ,  Salad ,  Fastfood - Thức ăn nhanh",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,999+
8,Pizza Hut - Võ Thị Sáu,10.9474417000000,106.8300180000000,"R127-R128 Võ Thị Sáu, P. Thống Nhất, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Cơm Chiên ,  Pizza & Pasta ,  Salad ,  Cơm ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",no,no,yes,50.000 - 200.000,0.0,0.0,0.0,4.5,999+
9,The Pizza Company - Vincom Biên Hòa,10.9575080000000,106.8434300000000,"Tầng 5, Vincom Biên Hòa, 1096 Phạm Văn Thuận, P. Tân Mai, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Gà rán ,  Sườn nướng ,  Chân cánh gà nướng ,  Lẩu ,  Pizza & Pasta ,  Fastfood - Thức ăn nhanh",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,"Món Âu ,  Ý",yes,no,yes,39.000 - 299.000,7.7,7.6,7.7,4.5,999+
10,Pizza 360 - Pizza & Chicken,10.9724631000000,106.8871601000000,"185 Nguyễn Ái Quốc, KP. 3, P. Hố Nai, Tp. Biên Hòa, Đồng Nai",Quán ăn,"Thịt Gà ,  Tôm ,  Đậu hũ ,  Bào Ngư ,  Hải sản ,  Pizza & Pasta ,  Cơm ,  Fastfood - Thức ăn nhanh",15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,11:00 - 19:00,11:00 - 19:00,"Bánh Pizza ,  Món Âu",yes,no,yes,20.000 - 100.000,4.0,5.0,4.7,4.5,999+
