RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Sinh Tố 228,10.0230011000000,105.7658293000000,"228 Đường 3/2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Sinh tố - Nước ép ,  Thức uống",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,Món Việt,no,yes,yes,15.000 - 20.000,7.8,7.2,6.6,4.5,999+
2,Sinh Tố Nước Ép 116 - Đường 3/2,10.0155120000000,105.7594990000000,"70 Đường 3/2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Sinh tố - Nước ép ,  Thức uống ,  Sữa",08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
3,Nước Ép & Sinh Tố CÀ NA - Nước Ép Và Sinh Tố - Phạm Hùng,10.0050040000000,105.7501710000000,"138/3 Phạm Hùng, P. Lê Bình, Quận Cái Răng, Cần Thơ","Café/Dessert , Khu Ẩm Thực","Sinh tố - Nước ép ,  Thức uống",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,"Món Việt ,  Món Miền Nam",no,no,no,0 - 0,0.0,0.0,0.0,4.5,50+
4,PuKa - Sinh Tố & Nước Ép Trái Cây,10.0111070000000,105.7644400000000,"Số 49/7 Trần Hoàng Na, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Sinh tố - Nước ép ,  Thức uống",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,no,no,no,0 - 0,0.0,0.0,0.0,4.5,100+
5,Sinh Tố & Nước Ép 138,10.0491700000000,105.7853000000000,"138 Trần Phú, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Sinh tố - Nước ép ,  Thức uống",07:30 - 23:00,07:30 - 23:00,07:30 - 23:00,07:30 - 23:00,07:30 - 23:00,07:30 - 23:00,07:30 - 23:00,,no,no,no,0 - 0,0.0,0.0,0.0,5.0,6
6,Sinh Tố 132 - Đường 3/2,10.0188204000000,105.7622841000000,"134 Đường 3 Tháng 2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,"Món Việt ,  Món Miền Nam",no,yes,yes,0 - 0,0.0,0.0,0.0,4.5,100+
7,Sinh Tố Trang,10.0610720000000,105.7646540000000,"Chợ An Thới, Cách Mạng Tháng 8, P. Bùi Hữu Nghĩa, Quận Bình Thủy, Cần Thơ",Café/Dessert,"Trà ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt ,  Trà sữa ,  Sữa",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,no,no,no,20.000 - 30.000,10.0,10.0,10.0,4.5,50+
