RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,"Cool - Pizza, Trà Sữa & Ăn Vặt - CN2",10.9807950000000,106.6763690000000,"196 Trần Văn Ơn, Tổ 8, Khu Phố 5, P. Phú Hoà, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,"Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Cá/bò viên ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,10.000 - 85.000,0.0,0.0,0.0,4.5,100+
2,"Cool - Pizza, Trà Sữa & Ăn Vặt",10.9742053000000,106.6878333000000,"453/87 Lê Hồng Phong, P. Phú Hoà, Thị xã Thủ Dầu Một, Bình Dương",Café/Dessert,"Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Cá/bò viên ,  Thức uống ,  Trà sữa ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,Món Việt,no,no,yes,10.000 - 85.000,9.5,9.6,9.7,4.5,999+
3,Pizza Hut - CMT8 Bình Dương,10.9770596000000,106.6571330000000,"564 Cách Mạng Tháng 8, P. Phú Cường, Thị xã Thủ Dầu Một, Bình Dương",Nhà hàng,"Cơm Chiên ,  Pizza & Pasta ,  Cơm ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",no,no,yes,100.000 - 300.000,0.0,0.0,0.0,4.5,999+
4,Domino's Pizza - Cách Mạng Tháng 8,10.9762507000000,106.6576243000000,"588 Cách Mạng Tháng 8, KP. 4, P. Phú Cường, Thị xã Thủ Dầu Một, Bình Dương",Nhà hàng,"Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",yes,no,yes,49.000 - 199.000,9.0,8.5,8.0,4.5,999+
5,"HBin - Pizza, Gà Rán & Trà Sữa",10.9596804000000,106.7169348000000,"D19/21A Khu Phố Bình Thuận 2, P. Thuận Giao, Thuận An, Bình Dương",Ăn vặt/vỉa hè,"Thịt Gà ,  Gà rán ,  Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,Món Việt,no,yes,yes,15.000 - 100.000,0.0,0.0,0.0,4.5,999+
6,Pizza Hut - Midori Park The View,11.0722770000000,106.6808250000000,"Tầng Trệt, Tòa Nhà 1, Lô H9 Midori Park The View, Lý Thái Tổ, KĐT Hòa Phú, P. Hòa Phú, Thị xã Thủ Dầu Một, Bình Dương",Nhà hàng,"Gà rán ,  Cơm Chiên ,  Pizza & Pasta ,  Cơm ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",yes,no,yes,100.000 - 300.000,4.0,3.0,5.0,4.5,999+
7,Pizza Hut - Đại Lộ Bình Dương,10.9870100000000,106.6647950000000,"Big C Bình Dương, 555B Đại Lộ Bình Dương, P. Hiệp Thành, Thị xã Thủ Dầu Một, Bình Dương",Nhà hàng,Pizza & Pasta,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",yes,no,yes,40.000 - 165.000,6.1,5.7,6.3,4.5,999+
8,Pizza Hut - Aeon Mall Bình Dương,10.9317930000000,106.7117010000000,"Tầng 2, Lô S1, Tầng 2, Aeon Mall Bình Dương, 1 Đại Lộ Bình Dương, P. Thuận Giao, Thuận An, Bình Dương",Nhà hàng,"Gà rán ,  Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Món Âu ,  Ý ,  Châu Mỹ",yes,no,yes,29.000 - 300.000,6.0,5.7,6.1,4.5,999+
9,Pizza Hut - Go Dĩ An,10.8891473000000,106.7757913000000,"Vị Trí 1S10, 2A Đường GS 01, Khu ĐT-TM-DV Quảng Trường Xanh, Khu Phố Tây B, P.Đông Hòa, Dĩ An, Bình Dương",Quán ăn,"Gà rán ,  Cơm Chiên ,  Pizza & Pasta ,  Salad ,  Cơm ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,500+
10,Pizza Hut - Lái Thiêu,10.9035406000000,106.7010095000000,"91A Đường Cách Mạng Tháng Tám, P. Lái Thiêu, Thuận An, Bình Dương",Quán ăn,"Pizza & Pasta ,  Salad ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",yes,no,yes,150.000 - 330.000,5.0,5.0,5.0,4.5,500+
