UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Thu Hằng,5/10/2019 11:41,9.4,"Phong cảnh đẹp yên tĩnh😘😘😘. Nhân viên cực kỳ chuyên nghiệp và thân thiện. Không gian sang trọng lịch sự. Nhưng vẫn đậm chất nam bộ việt nam. Đặc biệt buffet sáng tuy không nhiều món nhưng chất lượng, và rất ngon.",4
2,Thi Duong,6/10/2015 18:49,7.2,"Có lẽ khá nhiều người biết đến món pizza hủ tiếu nổi tiếng này từ lò hủ tiếu Sáu Hoài. Nhưng đó là địa điểm du lịch đang hút khách nên đương nhiên giá cả không rẻ chút nào ^^
Tình cờ phát hiện quán pizza hủ tiếu lề đường của các bạn sinh viên mở và bán, mình đã đến thử và ghiền luôn hihi

+ Về mùi vị: sợi hủ tiếu giòn, đồ ăn tương đối, thịt khìa ngon, rau tươi, nước sốt trộn vào khá là ngon, rất hợp khẩu vị của mình. Cách trình bày trang trí món ăn cũng đẹp, như một chiếc bánh pizza vậy ^^

+ Vị trí gần trường học, khá thuận tiện để ghé, tuy nhiên trong hẻm nhỏ nên không gian ngồi còn hạn chế.

+ Phục vụ rất nhiệt tình, chủ yếu là các bạn hs-sv nên khá dễ thương ^^
Xem thêm",12
3,Trúc Mai Dương,16/11/2019 20:26,8.8,"Trà dâu tinh than tre 
Avocado Matcha",20
4,Viên Pink,16/4/2019 23:26,7.0,"Không gian khá lãng mạn cho những cặp đôi về phần món ăn thì chất lượng trên trung bình, salad ngon. Nước uống thì hơi tệ tại sao quán nước lại bán đồ ăn ngon hơn thế nhỉ 🤣",20
5,Foodee_Ab2b6b62,20/3/2019 0:01,10,"Không biết piano của quán có cho khách chơi không. Hay để trang trí.
Mà chơi có ảnh hưởng nhiều tới người lân cận không",20
6,Ngan Nguyen,16/12/2018 22:42,9.2,"Vị trí: Khá khó tìm vì dễ nhầm lẫn giữa các con đường nhỏ huhu
Không gian: Trước kia đã tuyệt, sau khi sửa lại thì càng tuyệt hơn. Quán gồm 3 tầng. Tầng 1 có piano nữa, mình cực kì thích. Tầng 2 là thuộc về Board Game, ở đây các bạn có thể đùa giỡn la hét om sòm mà không 1 ai than phiền vì ai cũng như mình thôi :)) đó là lí do khiến tầng 2 trở nên thú vị, đặc biệt là có rất nhiều game phục vụ giải trí 🥰 Tầng 3 cũng là sân thượng, đây là nơi lung linh và đắc giá nhất của Mafa về đêm. Phải nói decor thật sự tuyệt. Thiết kế dạng sân vườn thoáng mát. Ban đêm lên đèn rất đẹp
Phục vụ: Rất ân cần chu đáo với khách hàng. Luôn nở nụ cười với khách. Hài lòng với phong thái phục vụ từ nhân viên cho tới bảo vệ. Ai cũng rất vui vẻ và lịch sự với khách
Món ăn, thức uống: Rất ngon. Rất đa dạng. Ngoài nước ra thì ở đây còn có beefsteak và nhiều món ăn khác. Theo cảm nhận của mình thì beefsteak phần sốt rất ngon, nhưng bò khá dai. Gà chiên thì hơi mặn. Chỉ có salad và khoai tây phô mai là 2 món tâm đắc của mình ở đây nhé🥰
Giá cả: Tạm được, không rẻ cũng không mắc so với 1 ly nước quá chất lượng. Giá của thức ăn cũng vừa phải chứ không rẻ
* Mafa còn nhận làm tiệc nữa nhé. Mình thấy đủ các loại tiệc phục vụ cho nhu cầu của khách hàng. Được trang trí và chuẩn bị rất chu đáo. Không sơ sài như những quán khác. Ở đây còn có phục vụ buffet cho nhóm khách đông nữa nha, rất tiện lợi😍
Tóm lại mình cảm thấy quán này rất tốt, lui tới không biết bao lần mà tới giờ mới review được hic. Các bạn nào chưa tới thì nên tới thử 1 lần sẽ ghiền nha. Còn ai tới rồi thì chắc cũng như mình nhỉ🥰
Xem thêm",20
7,Ron Swift,14/11/2018 21:59,7.8,"Ma Fa lúc rài có thêm bánh larve chesee tart nên mình hay ghé đây nghỉ trưa, uống trà, ăn bánh. Hôm mình đi thì quán hơi vắng, có vài bàn à, nhân viên thì vẫn một phong cách như cũ, nhanh nhẹn, dễ thương, nhiệt tình. 
Riêng về không gian thì mình thích Ma Fa vì lúc nào quán cũng chăm chút từng góc nhỏ, thường là chậu hoa, thật có giả có, mấy dịp lễ thì có thêm trang trí theo chủ đề. Không gian quán hơi thiếu sáng thành ra ngồi lâu hơi nhức mắt một chút í.",20
8,Thư Dương,13/11/2018 16:52,7.4,"Phải nói Ma Famille là chốn quá quen thuộc, các món nước ngon độc đáo. Bánh cũng ngon. Tart trứng ngon xuất sắc còn bánh trân châu thì mình came thấy bình thường. Còn ly Avocado Matcha thì mấy bạn mình khen ngon nhưng ly mình thì bơ bị đắng nên ko uống nổi",20
9,Nhi Yến,2/11/2018 17:35,8.4,"Mình có viết 1 bài trên foody của Ma Famille và bảo là mình chưa được thối lại 75k tiền thừa, sau đó vì máy mình lag nên đã gỡ app ra và hôm nay mới cài lại thì thấy bình luận phản hồi từ bạn bên MF bảo mình có thể ghé lấy lại tiền thối nhưng bình luận cũng cách đây 17 ngày. Mình rất bất ngờ khi ghé qua để hỏi vì sợ sự việc cũng cách đây 1 tháng mà mọi người còn nhớ và vui vẻ đưa lại tiền thừa cho mình nữa. Điểm 10 sự nhiệt tình và trung thực ❤",20
10,Hoàng Huy,20/10/2018 15:42,8.0,"Hôm nay đi với đứa bạn qua quán này để uống nước, mình có gọi 1 ly trà vải và 1 ly trà tinh than tre chanh dây để uống, theo mình cảm nhận thì nước uống của quán thuộc dạng bán trà này nọ khá là nhiều nên cũng dễ dàng lựa món lắm luôn nhe, giá cả cũng vừa tầm à, nhân viên quán thân thiện nhiệt tình nữa, quán trang trí kiểu vintage nhìn khá là thích mắt nhe, nước uống cũng ổn lắm luôn ấy, vị tà vải chua chua ngọt ngọt nhè nhẹ, sẽ ủng hộ quán dài dài",20
