UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Hạ Phong,7/4/2017 22:50,8.2,"Quán lâu năm nhưng mới sửa lại. Bà chủ nhiệt tình bán đồ ăn rất ngon với giá hợp lý, đặc biệt là món nem cá lóc ăn ngon mà lạ. Lần sau quay lại sẽ cập nhật hình. kakakakakaXem thêm",1
2,Na Tran,7/7/2016 20:59,8.8,"Khu giếng phun tự nhiên bắn siêu mạnh, làm không khí xung quanh mát mẻ..hàng rào bao quanh bằng các cột màu để tha hồ chụp hình tự sướng haha
Khu này hơi sâu khó tìm 1 chút nhưng trên search google map thì nó chỉ hết nên cứ đi theo thôi.

Đang trong đợt giảm giá 50% khai trương tới hết tháng 7 luôn nên nhà mình ở VT kéo lên chơi. Mấy đứa nhỏ được tắm trong hồ còn người lớn chỉ ngăm chân thôi. Đổi lại thì được ăn món gà nướng lu và sườn cây nướng lun siêu ngon..mình đi tuốt xuống bếp để xem. Ăn ghiền với xôi, 1 mình mình quất gần nửa con gà hehe

Món chả cá lã vọng ở đây ăn khá ngon nếu bạn nào khoái món đặc sản của miền bắc này. Mắm tôm pha rất vừa ăn theo khẩu vị miền nam. 

Ngoài ra có bán xoài lắc và các loại trái cây trồng sẵn trong vườn tại chỗ nên tươi mới ^^Xem thêm",2
3,foodee_b4143bc6,26/9/2018 11:19,8.6,"Đẹp..hình như mới s,/c. Xanh hơn vs hồi xưa. Bất ngờ  1 là giá quá rẻ vs chug quanh & nhữg gì nhận đc.Có các fòg vip kara fiá sau Full led, âm thanh quá chất & lại bất ngờ: Ngày 60k/hr. Đêm 90k/hr. Chíến lược gì đây ???.Nhưg cứ hưởg trước đã.Xem thêm",3
4,Phước Nguyễn,24/11/2017 0:07,5.8,Đi hoài. Có bữa rảnh thì nghe nhạc. Giờ view hết đẹp rồi nước uống thì tạm. giờ cũng ít đến quán rồi.... Gữi xe phi. Tối thứ 7 có hát với nhau nghe..Xem thêm,3
5,Munie.Tr,9/4/2017 1:15,5.6,"Đi hoài muốn mòn luôn mà giờ mới viết review :)
Khi trước view đẹp lắm mà giờ thì xuống cấp quá.
Đồ uống cũng vậy, k đc như trc, giá khá chát, cao hơn so với những chổ cf khác. 
Điểm trừ nữa là nhân viên đôi khi k tập trung :(( 
Giữ xe free nhéXem thêm",3
6,Jin Bui,16/12/2017 19:49,5.8,Lúc trước mình hay ăn chỗ này.Dạo gần đây có quay lai thì không kiếm ra .từ ql 56 chưa tới Bv tâm thần Bình Ba . ngay cổng khu phố quẹo trái vô .mình kiếm hoài k ra quán .Nên đành vô quán đầu hẽm ăn .chán ghêXem thêm,4
7,Lộc Lê Hữu,23/6/2016 13:25,7.2,"Nếu mọi người đi Châu Đức BRVT cách Bà Rịa 20km hãy ghé bánh canh  Phúc Lân - Bình Ba - Châu Đức. Bánh canh bột gạo ngon dai, cá lóc đồng tự nhiên ngon bổ dưỡng. Ngon nhất là đầu cá lóc, với bao tử dai chấm nước mắm ớt cay đậm đà... Hãy ghé 1 lần nếu có thể để cảm nhận món ngon từng vùng miền.Xem thêm",4
8,"Tea

TEA EXPRESS",21/11/2018 12:26,9.2,"Matcha đá xay có vị đắng, nhưng hậu ngọt, cùng dư vị beo béo, bùi bùi. Matcha đá có mùi thơm nồng. Kem phủ tơi béo khá là ngon khi kết hợp với Matcha rất là vừa miệng.
Màu xanh matcha cùng đá xay óng ánh ở dưới với lớp kem cheese mềm mại béo ngậy bên trên, hút một phát mê mẫn đầu lưỡi.
+ Giá cả: hợp lý
+Không gian: Đẹp, hiện đại, phù hợp để họp nhóm, trò chuyện.
+Phục vụ: Vui vẻ, lịch sự, nhiệt tình.
Sẽ quay lại lần sau.Xem thêm",5
9,Yến Bùi,14/4/2018 17:09,8.4,"Địa điểm: Gần chợ Đức Mỹ, ngay cạnh nhà mình, gần xịt lun ấy.
Dạo này mê mệt TEA EXPRESS thật sự luôn í, ẻm mới về được hơn một tuần mà mình có mặt  5 ngày rồi,  k uống thì thôi chứ uống cái hôm sau lại thèm ngay. Bị ghiền kem cheese ở đây lắm lắm, cho dư dả mát tay, cheese muốn tràn bờ đê đến nơi luôn í đã thế còn sánh mịn béo ngậy đầu môi . Kem cheese đặc sánh mịn, mặn mặn, bùi béo.
Thử xong hết dòng tea with cream thì mình ưng Matcha Machiato nhất do rất thơm, rất đậm, rất rõ vị trà và có thơm nồng, chát nhẹ, màu xanh lá đặc trưng. Trà xanh Machiato xếp thứ 2. Hôm qua đánh bạo thử trà sữa Caramel với thêm trân châu đen ngon ra phết, trà sữa siêu thơm, mùi caramel cực đã. Trân châu đen được ngâm với đường đen, dai ngon không bị cứng và bỡ. 
Hứa hẹn sẽ quay lại đây rất thường xuyên. Ahiihi.
 Matcha macchiato 30k, được giảm 10% khi take away chỉ còn 27k.
Trà xanh machiato size S 24k còn trà sữa caramel 25k.Xem thêm",5
10,Thảo Huỳnh,13/4/2018 14:42,8.0,"✔Vị trí: Nằm gần chợ Đức Mỹ. (Cách trường Ngô Quyền về hướng vòng xoay Đức Mỹ 1km) 
✔ Chất lượng : 
- Trà sữa trà xanh: uống thơm, uống vào hậu vị của trà vẫn giữ được, không bị lẫn bởi vị sữa. 
- Trà sữa trà đen: thơm, béo. Ngọt thanh, uống không bị gắt. 
- Trà sữa Earl Grey: Rất béo. Hòa với vị trà sữa càng béo hơn. 
✔Giá cả:  Phù hợp với học sinh 15-24k, thường xuyên có chương trình khuyến mãi. Đặc biệt giảm giá 10% cả bill take away. Hôm mình đi được khuyến mãi mua 1 tặng 1.
✔Dịch vụ - Nhân viên ở đây khá nhiệt tình. 
• Không gian: - Quán tuy nhỏ nhưng không gian siêu lung linh với ánh đèn vàng. Có không gian ngồi ngoài thoải mái trò chuyện, ôn lại kỷ niệm với bạn bè.

- Quay lại: Chắc chắn.Xem thêm",5
