UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Ron Swift,2/3/2016 18:08,7.4,"Quán cafe sân vườn, nằm trên đường đi vĩnh thạnh. Lần đi mệt mà trên đường chỉ rất ít quán cafe nên mới ghé lại. Quán không gian sân vườn với nhiều loại cây xanh xung quanh mà không phải là hoa kiểng chủ yếu là mấy cây ăn trái nên không gian hơi bị um tùm, tuy nhiên rất sạch sẽ. Ngồi bên ngoài cũng khá mát, còn bên trong là mái lá, có võng nằm nữa. Cafe ở đây bình thường thôi hà, giá lại chỉ 8k/1 ly, tiền nào của đó nhé. Nhân viên phục vụ vui vẻ lịch sự.Xem thêm",2
2,Nam Tran,26/7/2023 20:30,5.0,"Quán vệ sinh sạch sẽ, món ăn khá ngon, nước dùng phở vị Bắc, thanh ngọt, thịt bò mềm không bị dai hoặc xơ. Chủ quán phục vụ nhiệt tìnhXem thêm",3
3,Phương Trần,1/6/2018 22:39,8.2,"Ngay thị trấn Vĩnh Thạnh có một quán cafe khá mát mẻ, lý tưởng cho những bạn đi đường xa như mình ghé nghỉ chân. Quán ở ngang cục thuế với Bảo hiểm xã hội Vĩnh Thạnh. Quán có một dãy võng, một dãy bàn cho khách tha hồ chọn. Lúc mình ghé thì quán hơi vắng, chị chủ nói thường đông buổi sáng sớm hoặc trưa người ta ghé ngủ. Hai ly nước của mình là trà đường và trà lai, một ly to đùng vậy mà chỉ có 5k thôi, uống vô mát lạnh. Chị chủ dễ thương, rất quý khách nên vui vẻ bắt chuyện suốt thôi :)Xem thêm",4
4,Phương Trần,1/6/2018 22:46,8.4,"Mình vô tình biết đến quán trong một lần đi Vĩnh Thạnh bị mắc mưa. Hình như quán mới mở nên nhìn mới, sạch sẽ, rộng rãi và thoáng vô cùng. Bàn ghế nhiều, có cả một dãy võng cho khách đường xa nữa, có điều nói cafe sân vườn nhưng hk thấy cây xanh nào hết hihi. Mình gọi đá chanh và cafe sữa nhé. Đá chanh thì bình thường thôi, còn cafe sữa đá thì nhìn hơi lạ nhưng khuấy lên uống rất ngon, vị cafe rõ ràng không bị lẫn vào sữa, ly to đùng cũng chỉ có 12k thôi, quá rẻ nha mọi người.Xem thêm",5
5,Lối Đường Không,6/8/2022 20:30,5.0,Cho mình hỏi quán của bạn có giao đồ ăn vặt tới nhà khôngXem thêm,6
6,Duy Phong Lê,25/3/2018 18:18,7.4,"Ai đi ngang huyện Vĩnh Thạnh nhớ ghé cafe trà sữa ngon vô cùng. Không gian rộng rãi thoải mái phân ra nhiều khu, 2 khu dành cho học sinh em bé,1 khu dành cho công nhân viên chức, 1 khu nghỉ ngơi, và 1 sân rộng rãi trước cửa vào buổi chiều, tùy mình thích ngồi nơi nào, quán có nhiều đồ uống trà sữa, Drum, Trà Đào, Tắc Xí Muội... Và nhiều đồ ăn vặt khác, dùng thử là biết ngonXem thêm",6
7,Kim nga hồ,25/8/2017 20:53,6.6,"Nghe nói quán này lâu rồi nhưng bây giờ mới rãnh đi uống thử. Về địa điểm quán thì khá thuận lợi cho việc đi lại, đường đi ra số 10 vĩnh thạnh. Không gian quán cũng khá rộng, gồm 2 khu ( ngoài và trong) . Mình uống nước ở bên trong nên chỉ để ý không gian bên trong. Không gian nhỏ nhưng ấm cúng và vừa đủ, cách trang trí cũng theo thị hiếu quán trà sữa bây giờ. Phục vụ cũng niềm nở, dễ chịu. Đến lúc tập trung đến món ăn rồi. Ở đây trà sữa khá được thêm cái rẻ nữa. Trà sữa thái xanh cũng chỉ 10k. Ruhm cũng ngon nữa. Dĩa chả cá chiên thập cẩm bự quá trời mà có 20k hà. Nhìn chung quán khá ổn và phù hợp túi tiền học sinh- sinh viênXem thêm",6
