UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Đức vm,29/11/2019 17:08,2.8,"Tôi đặt chung với công ty trên ứng dụng Now tại RoyalTea***- Hoa Trà
12 Hoa Trà, P. 7, Phú Nhuận, TP.***

Ly của tôi là Trà xoài hawaii Cam vàng, nhưng có thể thấy trong hình khác nhau thế nào. Đã vậy còn không có xoài, thay vào đó là một vài miếng dứa cắt hạt lựu.Vị thì giống trà đá. Đã vậy khi đặt còn ép phải đặt ly size L. Thật tôi không biết nói sao nữa. 
Có thể họ là kiểu kinh doanh một lần, không được chỗ này lập chỗ khác tên khác, nhưng tôi hi vọng Foody và Now nên kiểm tra kỹ càng hơn các địa điểm đăng ký với mình, để khách hàng khỏi bị ""lừa dối"" thế này...Xem thêm",18
2,Nhan Pham,29/11/2019 16:02,1.0,"Black friday menu trên now đồng giá 20K nhưng chọn món thì thì lại 30K, đặt ly trà chanh cam đào không đường thì không có vị gì, cứ như nước lã bỏ lát cam, lát chanh vào thôi.  Vô cùng thất vọngXem thêm",18
3,Thang Nguyen,29/11/2019 15:58,1.0,"1. Black friday đồng giá 20k nhưng chỉ cho chọn size L giá 30k?
2. Uống như đồ chợ lớn không có vị gì hết
3. Đặt trên now mà đánh giá thì không cho chọn sao [ mặc định hiện 5 sao]Xem thêm",18
4,Nị,3/10/2019 18:52,5.0,"Em đặt 1 ly chocolate kem cheese ở đây . Mà e nhận được thì ko biết do tan hết hay sao mà em ko thấy kem cheese trong ly như mong đợi luôn hix . Đá e note 50% mà trong ly như là đá 70% hay 100% vậy á, nhiều lắm luôn . Còn socola và tchau thì ko có gì để nói , ngon đểu cả nên kéo lại được phần này .Xem thêm",18
5,B Mai Luu,19/6/2019 16:12,7.0,"Không gian nhỏ, hơi tối, k tự nhiên khi ngồi lại chỉ nên mua mang về thôi, với lại mình thấy đa số cũng toàn delivery à.

Tụi mình uống Trà Dâu Nhiệt Đới cho heo-thì, món này bạn mình gọi đường 50% nhạt nhẽo lắm .Ly của mình để 70% đường uống ok , vừa hơn, vị thanh. Pha chế ở đây thấy được hơn một số chi nhánh Royaltea khác.

Quán có đúng 1 anh phục vụ thôi, pha chế , tính tiền cũng ảnh luôn. Phục vụ tốt, nhiệt tình.
Quán cũng hay có khuyến mãi .Xem thêm",18
6,Quế Trân,20/4/2019 21:30,9.4,Lướt thấy quản giảm giá mình đặt 3 ly nước ngon giao nhanh sẽ lưu lại đặt thêm .thấy mấy quán khác giảm giá nhưng làm hơi ít nhưng quán này thấy làm luôn đây lyXem thêm,18
7,Chiêu Nghii,13/4/2019 22:22,3.0,"Mình có đặt một ly trà sữa cake cream để uống như thường lệ , lúc uống thử thì có mùi bánh mốc rất hôi và đặc trưng làm mình phải vứt hết cả một ly trà sữa. Phí hết 50k , lần sau sẽ cân nhắc khi mua chỗ này .Xem thêm",18
8,Trang Cao,1/4/2019 21:35,2.8,Order trà sữa kem chese mà không thấy xíu kem chese nào. Nhân viên giao hàng cũng không kiểm tra lại. 12k không phải lớn nhưng cũng là tiền. Hoặc hết cũng phải báo lại để khách đổi món chứ? Lần đầu cũng như lần cuối. Không chấp nhận đượcXem thêm,18
9,foodee_01aa799a,7/3/2019 19:45,9.8,"Đi ngang qua thấy khai trương nên ghé vô.
Mua 1 tặng 1.
Quản lý cực dễ thương.
Không gian hơi nhỏ nhưng đẹp.
Lưu thông tin để order lần sau.Xem thêm",18
10,Nguyễn Thị Hiền,7/3/2019 19:40,8.8,"Quán mới khai trương đang mua 1 tặng 1, tuy khuyễn mãi nhưng chất lượng vẫn đảm bảo. Nhân viên thân thiện, sẽ lưu lại để đặt.Xem thêm",18
11,foodee_ek9zka5l,8/7/2021 16:34,10,Ngon tuyet . Cho 10 saoXem thêm,20
12,LE SON,8/7/2021 15:51,10,"Trà sữa ngon , ngọt dịu, trân châu ăn rất vừa miệngXem thêm",20
13,Lộc,7/7/2021 19:17,10,Tuyệt vời. Ủng hộ quán dài dài nhaXem thêm,20
14,Linh Đoàn,7/7/2021 14:29,9.2,Hôm nay quán sale món 1k thêm combo giảm 50%. Mua 4 ly to chà bá mà chưa tới 120k nữa. Chúc quán làm ăn phát tài mùa dịch nha. Sẽ ủng hộ dài dài.Xem thêm,20
15,Thinh Nguyen Duy,6/7/2021 15:18,9.2,"Trái cây tươi rất ngon, trà ướp rất thơm, cân bằng độ ngọt vừa phải.
Rất hài lòng, sẽ giới thiều thêm bạn uống. Cảm ơn shop đã giao hàng rất nhanh!Xem thêm",20
16,Hoàng Văn Lục,3/7/2021 17:07,9.4,"Đánh giá 10 điểm cho trân châu đường đen. Trân châu thơm vị đường đen và bí đao, hạt trân châu dai vừa ăn không bị cứng. Lần sau sẽ oder thử thêm món khác ủng hộ quán.Xem thêm",20
17,Hằng  Lê,1/7/2021 10:22,9.6,Dịch không về nhà được nhớ ĐN nhớ mẹ nhớ cha nhớ góc quán tôi thường lui tới. Mấy nay thấy fb quảng cáo quá trời mới biết quán ruột khai trương chi nhanh tại Lũy Bán Bích. Uống hết ly ko quên review ủng hộ quán. Hơi xa chút nhưng sẽ ủng hộ quán dài dài.Xem thêm,20
18,KIỀU Tàu,30/6/2021 18:32,9.8,Thấy khai trương giảm 50% oder về thử trên cả tuyệt vời royaltea shanghaiXem thêm,20
19,Shop Baggo,30/6/2021 8:00,9.8,"Đã từng tới đà nẵng ghé quán uống một lần oder món xoài tươi kem cheese. Nay thấy fb quảng cáo mở thêm chi nhánh ở lũy bán bích, lại kèm km 50%. Oder ngay 2 ly xoài tươi kem cheese và trà sữa trân châu thêm double kem cheese. Nói chung uy tín chất lượng.Xem thêm",20
20,Quynhng2405,5/4/2023 21:49,3.0,"Vừa mua về bực quá phải lên review liền. 
Đã dặn là ít ngọt thiệt ít ngọt mà pha sao ngọt như chè luôn. uống ko nổiXem thêm",23
21,Clara,7/7/2022 18:04,1.0,Mua 2 ly trsua phomai bánh flan mà ko ly nào bỏ bánh plan ? Mua lúc ko đông khách mà còn bán kiểu vậy? Mua trsua giá của ly này nhưng làm của ly rẻ hơn…? Bực mình thật sựXem thêm,23
22,KiMi,27/3/2021 23:57,6.6,"Mình có đặt 1 li Cacao sữa thêm Pudding trứng và 1 Hồng trà tắc ko đường. Hồng trà giao đến thì đúng như mình note, có điều Cacao của mình lại KHÔNG có Pudding !
Mình hiểu việc quán đông có thể sót đơn, nhưng mà topping mình đã trả tiền đủ mà ko nhận dc nên vẫn có khó chịu :< quán để ý kĩ giúp mình. Món ngon nhưng thiếu topping như này thì cũng ngại đặt món có kèm topping lắm ợ😭Xem thêm",23
23,Nguyễn Ngọc Trung Thu,29/1/2021 16:09,1.0,Đặt ly 700ml mà giao cho khách ly nhỏ xíu. Gọi shipper thì kêu quán làm sẵn ko biết. Lý do j ngộ vậy. Cảm thấy ko làm đc size 700ml thì đừng có nhận.Xem thêm,23
24,Thảo Thanh,15/10/2020 13:12,10,"Mình order hẳn 1 phần phô mai tươi 25 viên về ăn luôn, pmt bên đây rất ngon và dễ gây nghiện
Bánh plan cũng best nữaXem thêm",23
25,Hà Vi,13/10/2020 20:49,6.2,Quán quá ciutee lý do vì sao tui không ốm đcXem thêm,23
26,Anh Thư,25/2/2020 11:32,5.6,"Mình uống ở đây được 4-5 năm rồi, dắt không biết bao nhiêu khách mới đến luôn. Dạo gần đây từ khi quán tuyển nhân viên thì chất luọng thực sự đi xuống.

Nhân viên không biết vô tình hay cố ý mà lần nào cũng bỏ sai topping: Kêu thạch phô mai bỏ phô mai tươi, kêu trân châu trắng bỏ hạt thủy tinh, kêu lục trà bán hồng trà, order 2 phần phô mai tươi nhưng bỏ có 7 cục. Đỉnh điểm là mình kêu thạch phô mai mà cả 5 cục thạch không hề có phô mai ở trong: 3 viên thạch trái cây, 2 viên thạch không.
 
Giá vẫn rẻ nhưng đá cực nhiều, vị trà vị kem phô mai như kiểu đổi công thức uống ngày một lạt lẽo. Lục trà không còn vị trà mạnh nhẫn nhẫn nữa nhiều khi uống như trà đá, trà sữa cũng không còn thơm trà nhiều mà vị lại quá ngọt, kem phô mai giống kem sữa hơn không còn béo ngậy mùi phô mai nhiều nữa.

Ngoài vị khác thì vụ sai topping nhiều đá chỉ bị khi nhân viên đứng bán. 2 vợ chồng anh chị chủ vẫn dth bán đúng món như bình thường.Xem thêm",23
27,Thanh Trang,9/10/2019 14:13,6.4,"Mình uống ở sóng sánh lâu rồi và có giới thiệu rất rất nhiều bạn tới đây uống luôn. Chất lượng vẫn ngon xịn, anh chị chủ bán vẫn dễ thương cực kì dù quán đông. Nhưng gần đây quán tuyền vài bạn nhưng viên bán thái độ khá tệ, mình thích ăn phô mai tươi ở đây lắm, nay có order 2 phần phô mai tươi thì về nhà ăn có vỏn vẹn 7 cục :)))) mà cục nào cũng nhỏ xíu không như anh chị chủ cắt bán, mình khá buồn và thất vọng khoảng đó ạ. Mong quán cài thiện training lại nhân viên ạ, mình vẫn sẽ ủng hộ quán vì chất lượng và anh chị chủ bán dễ thương cực.Xem thêm",23
28,Ú Nù  Sư Muội,20/8/2019 20:46,7.2,"Lúc trước mình làm bên phú nhuận thì hay uống trà sữa Sóng Sánh chi nhánh Thích Quảng Đức lắm, giờ dời về gò vấp ở thì chi nhánh SS bên TQĐ cũng đóng cửa và dời về gò vấp ^^ khi nào có dịp đi ngang qua phú nhuận mình mới ghé chi nhánh này, còn thường là mua bên gò vấp thôi. Theo đánh giá cá nhân của mình thì chất lượng hai bên ko đồng đều. Chi nhánh này trà sữa có vị ngọt hơn, mặc dù chạy về tới nhà, đá tan muốn hết nhưng vị ngọt vẫn còn. Chi nhánh Nguyễn Văn Nghi vừa vị hơn. Giá cả thì rẻ quá chừng, mình order tả lả topping mà cũng chỉ tầm 2xk thôi. Thích trân châu trắng của quán, bánh flan cũng ngon nữa. Ở quán có thẻ tích điểm, bạn nào ""chăm"" uống thì nên xin thẻ nhé ^^Xem thêm",23
29,Teo Teo,30/7/2019 15:36,4.0,"Mình uống trà sữa ở đây rất nhiều rồi, nhưng chưa lần nào mà thất vọng đến mức phải lên review quán như hôm nay. Bình thường trà sữa hay hồng trà của quán hương vị rất ok luôn, nhưng hôm nay uống trà sữa ca cao mà thật sự mình cảm thấy như uống nước lọc vậy đó 🙂. Uống vào mà không  cảm nhận được 1 tí hương vị ca cao gì hết trơn luôn á, dù mình đã cố gắng thử đi thử lại vẫn chả thấy có mùi vị gì??? Đã thế cũng chẳng thấy vị trà sữa luôn??? Bình thường mình uống trà sữa truyền thống của quán không bỏ hương gì hết thì vẫn thấy nó thơm và mùi trà sữa rất rõ, vị cũng rất rõ. Không hiểu sao hôm nay lại như vậy, phải nói là dở tệ luôn, ly trà sữa dở nhất mình từng uống .. Lúc mình mua thì quán không hề đông, chỉ có 1 anh shipper đang chờ lô trà sữa tầm chục ly, chỉ đổ trà sữa vào nữa là xong, anh chủ quán thì đang làm cho anh shipper kia. Còn mình vô sau thì bạn nữ trong quán làm cho mình. Uống không nổi nên phải bỏ cả hơn nửa ly trà sữa, mong lần sau quán cải thiện cách làm việc, sự việc hôm nay có thể do làm ẩu nên ly trà sữa của mình mới nhạt như nước ốc. Nhưng chỉ cần 1 lần ẩu thôi là đã đủ mất khách rồi đấy ạ. Còn lại không có gì để chê, anh chị chủ dễ thương, quán sạch sẽ, có quạt máy cho khách đứng đợi khỏi nóng nữa.Xem thêm",23
