UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Trung Tran,11/12/2020 19:29,3.8,"Không gian quán sân vườn và ghế đá , hơi bụi nhưng vẫn oke . Thái độ mấy bạn nhân viên thân thiện, điểm cộng đúng là tươi và khá ngon 
Nhưng giá cả thì quả thật không như mình tưởng tượng lắm 
1 đĩa gỏi ốc giác gỏi: 160k 
1 tô canh chua cá bốp ( 4-5 miếng cá nhỏ xíu, miếng cá chứ kf nguyên 1 phần cá nhỏ nhé) 160k
1 đĩa mực xào chua ngọt 200k
Tổng cộng luôn khăn nước suối là 570k
Giá đó kf là quá mắc cho 1 bữa ăn hải sản tươi nhưng gần 600k để ăn 1 bữa cơm gia đình thì hơi mắc . Mình đi chỉ có 2 người thôiXem thêm",1
2,Trần Thắng,21/9/2017 11:50,9.6,Quán chuyên về gà rất ổn định giá cả phải chăng. Đặc biệt là chiên nước mắn làm rất đặc biệt ngonXem thêm,1
3,Sang Đào,30/10/2016 23:07,8.0,"Đầu tiên, lặn lội từ Vũng Tàu ra Long Hải chơi 
Có search foody tìm quán ăn hải sản thì hiện ra cái quán tên Khánh nằm cuối đường bên hông chợ Phước Hải. Thế là 2 mềnh ton ten chạy vô, thấy quán ăn chả để biển hiệu rõ ràng gì cả, chỉ để Mỗi tên QUÁN KHÁNH cũng thấy là lạ ngờ ngợ, vòng quanh mấy vòng trong khu vực dò hỏi rồi mới vô. 
Phải nói 2 mềnh nhẹ vía ghê đi tới đâu khách vô tới đó, từ quán không có khách nào đến khách phải nói là nườm nượp :)) 
2 mềnh có gọi món gỏi xoài ốc giác, cải thìa xào tỏi và ghẹ. 
Đánh giá chung thì quán ăn kiểu sân vườn sạch sẽ, ghế đá thích hợp vừa tám vừa nhâm nhi.  
Chất lượng thì khỏi phải bàn rồi vì Khách gọi món mới bắt đầu chế biến. Một số món có giá tính theo thời vụ thì ra ngay chợ Phước Hải gần đó mua nên đảm bảo tươi ngon.
Gỏi xoài ốc giác vừa miệng, chua chua ngọt ngọt, ốc giác giòn. Cải xào ngon, giòn. Đặc biệt ghẹ thì khỏi chê, ghẹ loại 1, nhiều thịt, ngọt lịm.
Giá bình dân như các quán khác. Gỏi 100k, cải xào 30k, ghẹ loại nhứt theo thời giá 370k, tụi mình ăn 2 con 0,75kg hết 270k.
2 người tổng thiệt hại gần 450k bao ngon bao no.
Ăn xong mà no kềnh cái bụng trèo xe không nổi luôn. 
À! Còn nữa, Về cái cô nhân viên và quán hơi bị dễ thương do 2 mềnh đi từ sáng tới chiều đi đâu cũng uống nước nên người bị dư nước rồi nên không gọi nước nữa thế là cổ đem ca trà đá với 2 ly ra cũng sạch đẹp lắm. 
                     
Sẽ ghé lại thưởng thức thêm món khác nếu có dịp qua Long Hải.Xem thêm",1
4,Trân Ngô,3/12/2021 23:46,9.2,"Hải sản tươi ngon, giá cả hợp lý . Sẽ quay lại khi về Hồ Tràm.Xem thêm",2
5,Phuong Le,26/7/2020 20:22,1.0,"Quán không đông nhưng không chuyên nghiệp, nhân viên bê dĩa đồ ăn đi hết bàn này bàn khác hỏi có gọi món này ko, đến bàn mình là nguội lạnh tanh. Chờ đợi đồ ăn dài cổ, chủ quán thì vừa hách dịch vừa thái độ với khách nếu khách dám ý kiến. Còn chuyện quan trọng nhất đó là hải sản, mình thề với các bạn nó đều bị ngâm nc đá, ốc hải sản đều có con chết hôi, cát. Ghẹ dù thở oxy còn sống nhưng luộc lên bị ốp, nói chung đi chơi ôm cục tức còn thêm đau cái bụng. Vĩnh biệt! Một lần và mãi mãiXem thêm",2
6,foodee_zoo01xs9,16/5/2020 19:52,2.4,"Tới gọi 4 món thì 3 món ra khá nhanh, còn 1 món giục mãi cả tiếng đồng hồ cũng không lên, kêu tính tiền thì bắt đợi hoài. Nhân viên thì mỗi ng báo một giá hải sản khác nhau với khách, kiểu chém được bao nhiêu thì chém ấy.
Sẽ không bao giờ quay lại.Xem thêm",2
7,phamthidinhloi,10/1/2019 18:34,6.8,"Quán có mặt bằng khá rộng, khách đông, khách tây cũng nhiều. Hải sản tươi sống chọn tại chỗ rồi mới chế biến. Món cua rang muối hơi mặn, lẩu cá bớp thì ăn ngon, sò lụa, sò huyết chế biến ngon. Tuy nhiên thì giá hơi cao nhưng đồ ăn chất lượng.Xem thêm",2
8,Võ Thư,30/12/2017 15:02,7.4,"Thức ăn tươi,ngon . Nhân viên phục vụ nhiệt tình dễ thương.
Sẽ quay lại nếu đi ngang.Xem thêm",3
9,Tuấn Anh,25/10/2017 18:58,8.6,"Nếu bạn đang đi hay đang trở về từ Hồ Tràm hay Hồ Cốc và muốn có 1 nơi dừng chân ăn uống nghỉ ngơi thì đây là lựa chọn hợp lý. Quán có bãi xe rộng rãi, nhân viên giúp lui xe & che dù cho khách. Nhân viên phục vụ nhiệt tình & vui vẻ, chuyên nghiệp. Đầu bếp nấu ngon. Sẽ quay lạiXem thêm",3
10,Tran Nguyen,28/9/2017 12:56,8.0,"Không gian thoáng mát, giá cả hợp lý và bình ổn ngày lễ không tăng giá, hải sản chất lượngXem thêm",3
