UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Hà Nguyễn,14/2/2020 20:12,6.0,"Trên đoạn đường này có rất nhiều quán đu đủ đâm, nhưng quán mình ăn thấy ngon nhất là RiNa, đường xe chạy vào hơi nhỏ nhưng xe ô tô vẫn vào được. Quán ngày Lễ Tết rất đông thường không có chổ ngồi và khách phải tự nướng đồ ăn do làm không kịp. Ngày thường quán cũng rất đông tuy nhiên có người phục vụ. Gỏi đu đủ ở đây là quán ngon nhất trong các nơi mình đã ăn. Bò nướng cũng có hương vị đậm đà và thơm hơn các nơi khác, nhìn chung giá rất bình dân. Tuy nhiên quán hơi ngộp nóng do phía trên là mái tole.Xem thêm",1
2,Trân Thái,12/12/2018 11:24,7.4,"Quán RiNa - Đu Đủ Đâm & Các Món Nướng
Lần đầu tiên mình được thưởng thức món này luôn ạ.Được anh thổ địa ở đó giới thiệu đây là quán mở đầu tiên và ngon nhất ở khu vực này.Khách quá trời đông luôn, 2 bên nhưng vẫn không có chỗ ngồi.Nhìn món ăn hấp dẫn lắm.
-Vị trí: cũng khá là dễ tìm, có bảng hiệu.
-Không gian: thoáng mát, nhưng khách đông qá nhìn hơi loạn xạ lupu.
-Giá: giá mình không tượng tưởng luôn 1 dĩa đu đủ như vậy chỉ có 10K và xiên que nướng chỉ có 2K. Giá rất là rẻ luôn ạ.
-Chất lượng: lạ mà ăn ngon lắm, xiên que cũng vậy.
-Phục vụ chưa chuyên nghiệp lắm, đợi lâu.
-Menu đa dạng để các bạn lựa chọn.Xem thêm",1
3,Tanu Oh,30/10/2018 10:44,8.4,"Dạo này món đu đủ đâm này đang nổi lên như cồn, đang tạo thành trend khi các khách du lịch đến thăm An Giang và đặc biệt là vùng Tri Tôn.
Quán Rina này là 1 trong những quán cũng khá được nhiều khách lựa chọn, chủ quán là người dân tộc nên chế biến rất đúng đặc trưng của nó, một phần lại được nhiều bạn review nên có khá nhiều người biết đến.
Quán phục vụ vui vẻ, niềm nở và chất phát lắm.
Giá thì khá bình dân luôn, đủ đủ 10k, bof2k-5k, gà 7k-10k.
Nói chung ăn ngon, bổ, rẻ nhưng có vị hơi nồng do khá nhiều gia vị và hương vị.Xem thêm",1
4,Tài Đức,24/2/2018 18:10,10,GoodXem thêm,2
5,Phap Nguyen,19/10/2017 14:55,9.8,"Hi quán ở đây hk chỉ riêng CÔ CHỦ mà ai củng dể thương hết vậy đó....THỐT NỐT thì thôi rồi nhé nước ngọt lịm ,cái thốt nốt thì mềm mềm dai dai Hazzz ngon ....thêm vườn trái cây của CÔ CHỦ tha hồ mà lựa trọn luôn ...bẻ xong vào quán rộng rãi thoáng mát ăn phê pha luôn nhé...THÍCH NHẤT KHI RA VỀ AI CỦNG NỞ NỤ CƯỜI VUI VẺ TƯƠI RỐI VẬY ĐÓ...( Đặt biệt giá cả bình dân nhé )...
Ak e quên nửa đặt biệt CHỊ CHỦ có SHOP THỜI TRANG hàng nhập 100% từ MỸ về nhé .. mấy bạn mê thời trang vô shop là xỉu xỉu luôn ....!!!!Xem thêm",2
6,Tuyền Mạc,19/10/2017 9:46,10,"Quán sạch sẽ thoáng mát, cả vườn hoa 10g nhìn rất đẹp,uống nước hay ăn chè rồi thì k thể quên dc.... triệu like !Xem thêm",2
7,Phuông Châu,19/10/2017 7:21,9.8,Quán này nổi tiếng đẹp và rẻ nhất vùng này rồi. Đặc biệt là Thốt lốt và chè.Xem thêm,2
8,Nhân Nguyễn Trường Thy,18/10/2017 21:51,9.0,"Không gian thoáng mát nhiều cây xanh . Nhiều hoa đẹp, chim chóc gần gũi với con người. Nước thốt nốt lạ nhưng cực  ngon Thật tuyệt khi dừng chân nơi đây khi đi du lịch đến vùng đất An Giang nhiều chùa chiền và thơ mộng . Nhân viên phục vụ tận tình , chu đáo. Cô chủ quán dễ mến....Có dịp xuống An Giang , sẽ ghé quán Thốt Nốt Hương Sen lần nữa.Xem thêm",2
9,Seala Nguyễn,18/10/2017 21:28,10,Quán đẹp. Có cá có chim có bông hoa lá cành đủ loại. Mình rất thích. Thốt nốt thì đúng ngon. Ngọt. Tươi. Có thêm cô chủ rất ư dể thương. Có dịp đi là ghé liền ghé liền 🤗🤗🤗Xem thêm,2
10,Nguyen Van,18/10/2017 21:16,10,"- không gian thoáng mát
- sạch sẽ
- thức uống chuẩn sạch
- có cái hồ cá KOI cưng xỉu, mây sbanj cá háu ăn cục kì
- thích mấy cái Tum, nhóm phượt là tha hồ tám tám tám ko sợ phiền ai
- Chè thì khỏi nói, ngon ngất ngây, mau hết lắm luônXem thêm",2
