UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Foodee_Jyox3u0b,18/7/2024 14:18,10,Tuyệt vời,2
2,Trúc Mai Dương,24/4/2020 10:47,10,Cà phê sữa Bọt giá 1K,3
3,Trúc Mai Dương,29/11/2019 13:31,10,Trà sữa Oolong HongKong trân châu Mini,3
4,Trúc Mai Dương,18/9/2019 16:04,9.4,Cacao Sữa bọt,3
5,Hân Trịnh,26/8/2019 13:16,3.4,"Đặt trên app là ca cao sữa bọt nhưng lại giao ly ca cao như hình, nước đá là nước đá ở nhà bỏ vào:)))",3
6,Sue Cheriee,3/6/2019 10:00,8.2,"Lần nào đi Cần Thơ cũng phải ghé vì chưa thấy ở đâu bán giống. Hai món mình luôn gọi và thích nhất là cà phê bọt sữa và sữa tươi trân châu đường đen. Cà phê có lớp kem vị cà phê ở trên cùng rất thơm, vị cà phê đậm hoà quyện với kem ngon lắm nha. Sữa tươi trân châu đường đen có phần sữa béo và ngọt vừa không bị gắt, thơm đường đen, trân châu có ngày ngon có ngày hơi fail nhưng tổng thể vẫn xịn. Giá cũng rẻ nha, quán ngay bến Ninh Kiều tiện mua, nhân viên dễ thương không gian cũng được mà mình thấy rối quá.",3
7,Linh Tr,21/2/2019 21:37,5.0,Không gian đẹp.,3
8,Trúc Mai Dương,16/2/2019 14:02,9.0,"- Sữa Tươi trân châu Đường đen 
- Cà phê sữa bọt
- Bánh trà sữa",3
9,Hoàng Lâm,9/2/2019 19:09,10,"Quán được ko gian đẹp, cà phê bọt làm ngon, giá cả phải chăng",3
10,Trúc Mai Dương,23/1/2019 13:49,9.0,Ôlong Sữa,3
