RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes,Link_Gốc
295,River View Coffee & Smoothies,10.8016680000000,106.7286760000000,"8/11 Đường Số 49B, P. Thảo Điền, Quận 2, TP. HCM",,,,no,no,yes,18.000 -49.000,9.3,9.0,8.9,8.8,16,https://www.foody.vn/ho-chi-minh/river-view-coffee-smoothies
296,Cafe Villa Xuân Thủy,10.8027380000000,106.7288050000000,"37 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,,,yes,no,yes,0.022 -0.070,7.3,6.9,7.3,6.9,10,https://www.foody.vn/ho-chi-minh/villa-xuan-thuy-cafe
297,Laang Restaurant,10.8033990000000,106.7363720000000,"22 Đặng Hữu Phổ, P. Thảo Điền, Quận 2, TP. HCM",,,,no,yes,yes,200.000 -500.000,9.4,9.2,9.3,9.1,9,https://www.foody.vn/ho-chi-minh/laang-restaurant
298,Phở Hotpot - Vincom Mega Mall Thảo Điền,10.8022816000000,106.7409646000000,"Lầu 4 Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,,,no,no,yes,30.000 -55.000,7.7,7.5,7.5,7.4,19,https://www.foody.vn/ho-chi-minh/pho-hotpot-vincom-mega-mall-thao-dien
299,"Homyland - Nhà Hàng Tiệc Cưới, Siêu Thị, Cafe",10.7877220000000,106.7621030000000,"202 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",,,,no,yes,yes,300.000 -550.000,7.2,6.6,7.2,7.0,18,https://www.foody.vn/ho-chi-minh/homyland-nha-hang-tiec-cuoi-sieu-thi-cafe
300,Nhà Hàng Cơm Niêu Sài Gòn - Xuân Thủy,10.8037830000000,106.7342950000000,"75 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",,,,yes,yes,yes,150.000 -500.000,7.7,8.0,7.9,7.7,9,https://www.foody.vn/ho-chi-minh/com-nieu-sai-gon-xuan-thuy
301,Hương Sơn Quán - Đặc Sản Dê - Trần Não,10.7891712872136,106.7311583042296,"81/1 Đường Số 12 Trần Não, P. Bình An, Quận 2, TP. HCM",,,,no,no,no,100.000 -165.000,8.1,7.2,7.3,7.2,24,https://www.foody.vn/ho-chi-minh/huong-son-quan-de-22-mon
301,Hương Sơn Quán - Đặc Sản Dê - Đường Số 9,10.7962470000000,106.7386130000000,"771A Đường Số 9, P. An Phú, Quận 2, TP. HCM",,,,yes,yes,yes,150.000 -300.000,9.5,9.0,8.5,8.8,2,https://www.foody.vn/ho-chi-minh/huong-son-quan-dac-san-de-duong-so-9
302,Lẩu 1 Người - Cantavil Premier,10.8018510000000,106.7498350000000,"Tầng 5 Parkson Cantavil, 1 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,25.000 -85.000,7.0,6.9,7.1,7.0,18,https://www.foody.vn/ho-chi-minh/lau-1-nguoi-parkson-cantavil-89520
303,"Chef's Kitchen - Shabu, Sushi & Salad Buffet - Thảo Điền Pearl",10.8015480000000,106.7333000000000,"Tầng 2, Thảo Điền Pearl, 12 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",,,,yes,no,yes,275.000 -465.000,9.2,9.5,9.1,8.9,13,https://www.foody.vn/ho-chi-minh/chef-s-kitchen-shabu-sushi-salad-buffet-thao-dien-pearl
