Latitude,Longitude,Has_Online_delivery,Has_Table_booking,Has_Wifi,Min_Price,Max_Price,Avg_Price,Price_range,Style_American,Style_Asian,Style_Cambodian,Style_Chinese,Style_European,Style_Filipino,Style_French,Style_German,Style_International,Style_Italian,Style_Japanese,Style_Korean,Style_Malaysian,Style_Other,Style_Singaporean,Style_Spanish,Style_Taiwanese,Style_Thai,Style_Vietnamese,Cuisines_MainDish,Cuisines_Beverage,Cuisines_Dessert,Cuisines_Snack,Is_Vegetarian,Is_Healthy,Cuisines_VarietyScore,Type_Other,Type_buffet,Type_café/dessert,Type_khu ẩm thực,Type_nhà hàng,Type_nhà hàng sang trọng,Type_quán cơm văn phòng,Type_quán nhậu,Type_quán ăn,Type_shop online,Type_tiệm bánh,Type_ăn vặt/vỉa hè,Same_Min_Max,Avg_open_hour,Avg_close_hour,Is_open_after_22,Avg_open_duration,Is_open_weekend,preference_level
10.767504,106.640594,0,0,1,39000.0,79000.0,78500.0,59500.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,22.0,0,13.0,1,low
10.744741,106.69198,1,1,1,50000.0,202000.0,151000.0,177000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.5,22.0,0,6.5,1,low
10.891396,106.77285,1,0,1,35000.0,200000.0,135000.0,182500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,22.0,0,12.0,1,high
10.768887,106.652565,0,1,1,56250.0,200500.0,156500.0,172375.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,22.0,0,12.0,1,low
10.7655,106.66634,0,0,0,62750.0,159000.0,142250.0,127625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,22.5,1,12.5,1,moderate
10.801692,106.746994,0,0,1,40000.0,88000.0,84000.0,68000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5,21.5,0,12.0,1,low
10.778252,106.68927,0,0,0,97750.0,220000.0,207750.0,171125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,23.0,1,13.0,1,low
10.969756,106.866615,0,0,1,15000.0,35000.0,32500.0,27500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.5,22.5,1,16.0,1,low
10.776534,106.68905,0,0,0,40000.0,190000.0,135000.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0,22.5,1,12.5,1,low
10.812915,106.66523,1,1,1,74375.0,315000.0,231875.0,277812.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10.0,22.0,0,12.0,0,moderate
10.014285,105.7842,1,0,1,30000.0,88000.0,74000.0,73000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,22.0,0,13.0,1,low
10.766914,106.67327,0,0,0,24000.0,196333.0,122166.5,184333.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,22.0,0,13.0,1,high
10.735977,106.67415,0,0,0,19429.0,100870.0,69864.0,91155.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,22.0,0,13.0,1,low
10.851169,106.76363,0,0,0,12000.0,20000.0,22000.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0,21.0,0,13.0,1,moderate
10.799249,106.661446,0,0,0,12000.0,34000.0,29000.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,23.0,1,14.0,1,low
10.72871,106.7188,0,0,1,10000.0,100000.0,60000.0,95000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,22.0,0,13.0,1,low
10.484924,107.212234,0,0,0,52500.0,155000.0,130000.0,128750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,11.0,21.0,0,10.0,1,moderate
10.750296,106.72857,1,0,1,45000.0,165000.0,127500.0,142500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,22.0,0,12.0,1,moderate
10.788425,106.69949,0,0,0,10000.0,300000.0,160000.0,295000.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5,20.5,0,12.0,1,low
10.79054,106.71212,0,0,1,50000.0,247500.0,173750.0,222500.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,10.0,22.0,0,12.0,1,high
10.801346,106.733505,1,0,1,40000.0,80000.0,80000.0,60000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5,21.75,0,12.25,1,low
10.75284,106.65848,0,1,0,50000.0,80000.0,90000.0,55000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10.0,20.0,0,10.0,1,low
10.754587,106.63833,0,0,1,30000.0,80000.0,70000.0,65000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,23.0,1,16.0,1,low
10.749731,106.643845,0,0,0,28000.0,44000.0,50000.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,15.0,0,9.0,1,high
10.946257,106.82429,0,1,1,25000.0,100000.0,75000.0,87500.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,12.571428571428571,16.75,0,4.178571428571429,1,moderate
10.787514,106.67883,0,0,1,50000.0,200000.0,150000.0,175000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,21.5,0,13.5,1,low
10.843963,106.8381,0,0,1,25000.0,55000.0,52500.0,42500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,23.0,1,15.0,1,high
10.840548,106.67929,0,0,0,10000.0,60000.0,40000.0,55000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,21.5,0,15.0,1,low
10.779653,106.65367,0,0,0,49000.0,129000.0,113500.0,104500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,23.0,1,14.0,1,high
10.771489,106.69557,1,0,1,25000.0,77000.0,63500.0,64500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,21.5,0,13.5,1,low
10.760234,106.69899,0,0,1,30000.0,100000.0,80000.0,85000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,23.0,1,16.0,1,moderate
10.762822,106.66842,0,0,1,28000.0,89000.0,72500.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.5,22.5,1,13.0,1,low
10.834256,106.66475,0,0,0,40000.0,80000.0,80000.0,60000.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0,22.0,0,14.0,0,low
10.888209,106.788956,1,1,1,29000.0,120000.0,89000.0,105500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0,23.0,1,11.0,1,low
10.778198,106.70182,0,0,1,20000.0,50000.0,45000.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,22.0,0,15.0,0,low
10.011107,105.76444,0,0,0,15444.0,43290.0,37089.0,35568.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,22.0,0,14.0,1,high
10.840818,106.74505,0,0,1,10000.0,35000.0,27500.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,22.0,0,16.0,1,low
10.976606,106.65334,0,0,0,20000.0,30000.0,35000.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.0,21.0,0,5.0,1,high
10.748141,106.720215,0,0,0,26818.0,113839.0,83737.5,100430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,23.98333333333333,1,13.98333333333333,1,high
10.982218,106.65835,1,0,1,9000.0,20000.0,19000.0,15500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,22.0,0,13.5,1,moderate
10.7296715,106.70315,0,0,1,30000.0,100000.0,80000.0,85000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,21.0,0,14.0,1,low
10.794045,106.65573,0,0,1,40000.0,75000.0,77500.0,55000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,22.0,0,15.0,0,low
10.748034,106.635315,1,0,1,30000.0,88000.0,74000.0,73000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,22.0,0,13.0,1,high
10.954167,106.82476,0,0,1,20000.0,33000.0,36500.0,23000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,22.0,0,13.5,1,moderate
10.776629,106.680595,1,1,1,62750.0,309000.0,217250.0,277625.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,22.5,1,12.5,1,moderate
10.765809,106.66388,0,0,1,25000.0,45000.0,47500.0,32500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,21.0,0,12.0,1,moderate
10.847203,106.77655,1,0,1,30000.0,77000.0,68500.0,62000.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,23.0,1,16.0,1,low
10.801692,106.6368,0,0,1,30000.0,50000.0,55000.0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,22.5,1,15.5,1,moderate
10.796926,106.69118,1,1,1,30000.0,120000.0,90000.0,105000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,23.0,1,16.0,1,high
10.739915,106.67649,0,0,0,25087.0,82296.0,66235.0,69752.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,22.0,0,15.0,1,high
10.76707,106.6664,1,0,1,40000.0,250000.0,165000.0,230000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,23.0,1,13.0,1,low
10.0896845,105.43391,0,0,1,7000.0,25000.0,19500.0,21500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0,22.0,0,16.0,1,moderate
10.964792,106.673065,0,0,1,25000.0,55000.0,52500.0,42500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,22.5,1,15.5,1,low
10.765199,106.66756,0,1,1,50000.0,175000.0,137500.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,10.5,22.0,0,11.5,1,low
10.769705,106.65129,1,0,0,10000.0,200500.0,110250.0,195500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,22.0,0,13.0,1,moderate
