Avg_open_duration,Avg_close_hour,Avg_open_hour,Cuisines_MainDish,Cuisines_Beverage,Cuisines_Dessert,Cuisines_Snack,Cuisines_VarietyScore,Min_Price,Max_Price,Price_range,Latitude,Longitude,Has_Online_delivery,Has_Table_booking,Has_Wifi,Style_American,Style_Asian,Style_Cambodian,Style_Chinese,Style_European,Style_Filipino,Style_French,Style_German,Style_International,Style_Italian,Style_Japanese,Style_Korean,Style_Malaysian,Style_Other,Style_Singaporean,Style_Spanish,Style_Taiwanese,Style_Thai,Style_Vietnamese,Is_Vegetarian,Is_Healthy,Type_Other,Type_buffet,Type_café/dessert,Type_khu ẩm thực,Type_nhà hàng,Type_nhà hàng sang trọng,Type_quán cơm văn phòng,Type_quán nhậu,Type_quán ăn,Type_shop online,Type_tiệm bánh,Type_ăn vặt/vỉa hè,Same_Min_Max,Is_open_after_22,Is_open_weekend,preference_level
0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,0.0,2.0,1.0,1.0,-0.05811764705882353,0.00909090909090909,0.034995450591423116,0.16241474842123482,0.6793594064044228,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
-0.11111111111111072,0.6666666666666679,0.3333333333333333,1.6666666666666667,0.0,0.0,2.0,1.0,1.7065882352941177,1.0454545454545454,1.0248667673202483,0.1331155637040664,0.824756698351294,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
-0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,3.1404117647058825,0.36363636363636365,0.15310509633747613,0.16872078729450646,0.6640907167575918,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.16666666666666666,1.0,0.5,-0.3333333333333333,1.0,0.0,1.0,1.0,2.1183529411764708,1.2045454545454546,1.1648485696859407,0.16843786510317404,0.6522123826938468,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
-0.5,0.5,0.6666666666666666,-0.3333333333333333,0.0,0.0,2.0,0.0,-1.175764705882353,-0.5181818181818182,-0.44994150760401147,0.16500402066067987,0.6780031130521564,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
-1.3333333333333333,-2.0,0.6666666666666666,-0.3333333333333333,0.0,0.0,1.0,0.0,1.8536470588235294,1.2272727272727273,1.2123423954885866,0.16400591865310366,0.6432986263279616,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,1.0,1.0,1.0,0.4712941176470588,1.3181818181818181,1.4298141241638587,0.1659701504821588,0.6778655947289707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0595294117647058,0.12727272727272726,0.06999090118284623,0.16535967166147658,0.654388496818946,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-2.1666666666666665,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,1.7065882352941177,1.2454545454545454,1.2448381710377652,0.163558228908665,0.6738020038384249,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.8242352941176471,1.2272727272727273,1.2998310219671443,0.17516436987925676,0.7043544950357443,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
