UserID,User,Review Time,Rating (10),Comment,RestaurantID
1,Nguyễn Thị Kim Tú,25/5/2021 11:16,9.2,"Cơm khá là ngon, vừa miệng",3
2,Nguyễn Viết Hoàng Nam,30/12/2019 9:58,5.0,Cơm ngon . TUYỆT VỜI . ĂN VỪA MIỆNG . GÀ NGON GIÒN .,3
3,Quỳnh Ngọc,25/8/2019 13:01,5.0,"mình ăn cơm ở đây khá ngon, nhân viên cũ rất lễ phép và nhiệt tình, nhưng từ lúc quán nâng cấp, có thêm nhân viên thì không còn như xưa, nhân viên mới đặc biệt là nv nữ vào trưa ngày 25.8 đã rất khó chịu khi mình gọi cơm. mình mong thái độ nv sẽ k ảnh hưởng đến quán cơm mà mình yêu thích nhất",3
4,Minhanh99,3/5/2018 23:02,7.8,"Thích ăn quán này vì không gian sạch sẽ và bày trí ngăn nắp. Cơm sườn giá bình dân, sườn ướp vừa miệng không bị khô, nước mắm sệt sệt ăn rất ngon. Chả thì mình thấy hơi cứng. Phục vụ nhanh gọn lẹ, nhân viên và chủ quán rất vui vẻ nhiệt tình.",3
5,Ha Ha,12/4/2016 15:24,8.0,"Cơm tấm Minh Xuân , khai trương ngày 22/4/2016 sắp tơi nằm gần khúc chợ Phúc Hải. Giá bình dân 22k chất lượng. Không gian lịch sự. Nằm ngay mặt tiền Nguyễn Ái quốc!",3
