source,area_code,source_file,district_city,province
foody,69,D69.csv,Thành Phố Thủ Dầu Một,Bình Dương
foody,73,D73.csv,Tp. Vũng Tàu,Vũng Tàu
foody,74,D74.csv,Tp. Vũng Tàu,Vũng Tàu
foody,79,D79.csv,Quận Ninh Kiều,Cần Thơ
foody,80,D80.csv,Quận Ninh Kiều,Cần Thơ
foody,83,D83.csv,Tp. Vũng Tàu,Vũng Tàu
foody,84,D84.csv,Tp. Vũng Tàu,Vũng Tàu
foody,85,D85.csv,Thành Phố Long Xuyên,An Giang
foody,86,D86.csv,Thành Phố Thủ Dầu Một,Bình Dương
foody,88,D88.csv,Tp. Vũng Tàu,Vũng Tàu
foody,98,D98.csv,Thành Phố Long Xuyên,An Giang
foody,99,D99.csv,Thành Phố Long Xuyên,An Giang
shopee,1,D1.csv,Thành Phố Thủ Đức,TP. HCM
shopee,10,D10.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,1000,D1000.csv,Tp. Biên Hòa,Đồng Nai
shopee,11,D11.csv,Quận Ninh Kiều,Cần Thơ
shopee,12,D12.csv,Quận Ninh Kiều,Cần Thơ
shopee,14,D14.csv,Quận Ninh Kiều,Cần Thơ
shopee,15,D15.csv,Quận Ninh Kiều,Cần Thơ
shopee,16,D16.csv,Quận Ninh Kiều,Cần Thơ
shopee,17,D17.csv,Quận Ninh Kiều,Cần Thơ
shopee,18,D18.csv,Quận Ninh Kiều,Cần Thơ
shopee,19,D19.csv,Quận Ninh Kiều,Cần Thơ
shopee,2,D2.csv,Thành Phố Thủ Đức,TP. HCM
shopee,20,D20.csv,Quận Ninh Kiều,Cần Thơ
shopee,21,D21.csv,Tp. Long Xuyên,An Giang
shopee,22,D22.csv,Tp. Long Xuyên,An Giang
shopee,23,D23.csv,Tp. Biên Hòa,Đồng Nai
shopee,24,D24.csv,Tp. Biên Hòa,Đồng Nai
shopee,25,D25.csv,Tp. Biên Hòa,Đồng Nai
shopee,26,D26.csv,Tp. Biên Hòa,Đồng Nai
shopee,27,D27.csv,Tp. Biên Hòa,Đồng Nai
shopee,28,D28.csv,Tp. Biên Hòa,Đồng Nai
shopee,29,D29.csv,Tp. Biên Hòa,Đồng Nai
shopee,3,D3.csv,Quận 1,TP. HCM
shopee,30,D30.csv,Tp. Biên Hòa,Đồng Nai
shopee,31,D31.csv,Tp. Biên Hòa,Đồng Nai
shopee,32,D32.csv,Tp. Biên Hòa,Đồng Nai
shopee,33,D33.csv,Thị xã Đồng Xoài,Bình Phước
shopee,34,D34.csv,Thị xã Đồng Xoài,Bình Phước
shopee,35,D35.csv,Thị xã Bạc Liêu,Bạc Liêu
shopee,36,D36.csv,Tp. Bến Tre,Bến Tre
shopee,37,D37.csv,Tp. Cà Mau,Cà Mau
shopee,38,D38.csv,Dĩ An,Bình Dương
shopee,39,D39.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,4,D4.csv,Thành Phố Thủ Đức,TP. HCM
shopee,40,D40.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,41,D41.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,42,D42.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,43,D43.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,44,D44.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,45,D45.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,46,D46.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,47,D47.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,48,D48.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,49,D49.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,5,D5.csv,Bình Tân,TP. HCM
shopee,50,D50.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,51,D51.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,52,D52.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,53,D53.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,54,D54.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,55,D55.csv,Bình Thạnh,TP. HCM
shopee,56,D56.csv,Tân Bình,TP. HCM
shopee,57,D57.csv,Tp. Biên Hòa,Đồng Nai
shopee,58,D58.csv,Tp. Biên Hòa,Đồng Nai
shopee,59,D59.csv,Tp. Biên Hòa,Đồng Nai
shopee,6,D6.csv,Thành Phố Thủ Đức,TP. HCM
shopee,63,D63.csv,Quận Ninh Kiều,Cần Thơ
shopee,64,D64.csv,Quận Ninh Kiều,Cần Thơ
shopee,65,D65.csv,Quận Ninh Kiều,Cần Thơ
shopee,66,D66.csv,Tp. Biên Hòa,Đồng Nai
shopee,67,D67.csv,Dĩ An,Bình Dương
shopee,68,D68.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,69,D69.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,7,D7.csv,Bình Thạnh,TP. HCM
shopee,70,D70.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,71,D71.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,72,D72.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,73,D73.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,74,D74.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,75,D75.csv,Thành Phố Thủ Đức,TP. HCM
shopee,76,D76.csv,Thành Phố Thủ Đức,TP. HCM
shopee,77,D77.csv,Tân Bình,TP. HCM
shopee,78,D78.csv,Quận Ninh Kiều,Cần Thơ
shopee,79,D79.csv,Quận Ninh Kiều,Cần Thơ
shopee,8,D8.csv,Thành Phố Thủ Đức,TP. HCM
shopee,80,D80.csv,Quận Ninh Kiều,Cần Thơ
shopee,81,D81.csv,Tp. Biên Hòa,Đồng Nai
shopee,82,D82.csv,Tp. Biên Hòa,Đồng Nai
shopee,83,D83.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,84,D84.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,86,D86.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,87,D87.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,88,D88.csv,Tp. Vũng Tàu,Vũng Tàu
shopee,89,D89.csv,Thị xã Thủ Dầu Một,Bình Dương
shopee,9,D9.csv,Thành Phố Thủ Đức,TP. HCM
shopee,tmp,Dtmp.csv,Tp. Biên Hòa,Đồng Nai
