source,area_code,source_file,district_city,province,num_addresses,top_district_candidates,top_province_candidates
foody,138,D138.csv,Huyện Long Thành,Vũng Tàu,15,Huyện Long Thành (15),Vũng Tàu (15)
foody,139,D139.csv,Huyện Xuyên Mộc,Vũng Tàu,37,Huyện Xuyên Mộc (37),Vũng Tàu (37)
foody,140,D140.csv,Huyện Long Điền,Vũng Tàu,35,Huyện Long Điền (35),Vũng Tàu (35)
foody,141,D141.csv,Huyện Châu Đức,Vũng Tàu,36,Huyện Châu Đức (36),Vũng Tàu (36)
foody,142,D142.csv,Huyện Đất Đỏ,Vũng Tàu,36,Huyện Đất Đỏ (36),Vũng Tàu (36)
foody,143,D143.csv,Quận 8,TP. HCM,14,Quận 8 (4) | Quận 1 (3) | Quận Gò Vấp (2),TP. HCM (14)
foody,144,D144.csv,Quận Bình Thạnh,TP. HCM,129,Quận Bình Thạnh (101) | Quận 1 (8) | Quận 3 (4),TP. HCM (129)
foody,145,D145.csv,Quận Tân Bình,TP. HCM,130,Quận Tân Bình (96) | Quận 1 (7) | Quận 7 (5),TP. HCM (130)
foody,146,D146.csv,Quận Tân Phú,TP. HCM,109,Quận Tân Phú (98) | Quận 10 (3) | Quận Tân Bình (3),TP. HCM (109)
foody,147,D147.csv,Quận Gò Vấp,TP. HCM,122,Quận Gò Vấp (76) | Quận Tân Phú (5) | Quận 1 (5),TP. HCM (122)
foody,148,D148.csv,Quận Bình Tân,TP. HCM,32,Quận Bình Tân (24) | Quận Tân Phú (4) | Quận 8 (2),TP. HCM (32)
foody,149,D149.csv,Quận Ninh Kiều,Cần Thơ,23,Quận Ninh Kiều (23),Cần Thơ (23)
foody,150,D150.csv,Thành Phố Long Xuyên,An Giang,103,Thành Phố Long Xuyên (103),An Giang (103)
foody,151,D151.csv,Quận Tân Bình,TP. HCM,39,Quận Tân Bình (23) | Tp. Thủ Đức (6) | Quận Bình Thạnh (4),TP. HCM (39)
foody,152,D152.csv,Quận Bình Thạnh,TP. HCM,10,Quận Bình Thạnh (10),TP. HCM (10)
foody,153,D153.csv,Quận Gò Vấp,TP. HCM,30,Quận Gò Vấp (25) | Quận 3 (2) | Quận Bình Tân (1),TP. HCM (30)
foody,154,D154.csv,Quận Ninh Kiều,Cần Thơ,20,Quận Ninh Kiều (20),Cần Thơ (20)
foody,17,D17.csv,Quận Ninh Kiều,Cần Thơ,236,Quận Ninh Kiều (180) | Quận Cái Răng (38) | Quận Bình Thủy (15),Cần Thơ (236)
foody,18,D18.csv,Quận Ninh Kiều,Cần Thơ,67,Quận Ninh Kiều (59) | Quận Cái Răng (6) | Quận Bình Thủy (2),Cần Thơ (67)
foody,19,D19.csv,Quận Ninh Kiều,Cần Thơ,83,Quận Ninh Kiều (75) | Quận Cái Răng (6) | Quận Bình Thủy (2),Cần Thơ (83)
foody,20,D20.csv,Quận Ninh Kiều,Cần Thơ,155,Quận Ninh Kiều (124) | Quận Cái Răng (17) | Quận Bình Thủy (14),Cần Thơ (155)
foody,201,D201.csv,Huyện Cờ Đỏ,Cần Thơ,24,Huyện Cờ Đỏ (24),Cần Thơ (24)
foody,202,D202.csv,Huyện Phong Điền,Cần Thơ,24,Huyện Phong Điền (24),Cần Thơ (24)
foody,203,D203.csv,Huyện Thới Lai,Cần Thơ,12,Huyện Thới Lai (12),Cần Thơ (12)
foody,204,D204.csv,Huyện Vĩnh Thạnh,Cần Thơ,14,Huyện Vĩnh Thạnh (14),Cần Thơ (14)
foody,205,D205.csv,Quận Bình Thủy,Cần Thơ,36,Quận Bình Thủy (36),Cần Thơ (36)
foody,206,D206.csv,Quận Cái Răng,Cần Thơ,26,Quận Cái Răng (25) | Quận Ninh Kiều (1),Cần Thơ (26)
foody,207,D207.csv,Quận Ninh Kiều,Cần Thơ,210,Quận Ninh Kiều (197) | Quận Cái Răng (7) | Quận Bình Thủy (5),Cần Thơ (210)
foody,208,D208.csv,Quận Ô Môn,Cần Thơ,24,Quận Ô Môn (24),Cần Thơ (24)
foody,209,D209.csv,Quận Thốt Nốt,Cần Thơ,24,Quận Thốt Nốt (24),Cần Thơ (24)
foody,21,D21.csv,Thành Phố Long Xuyên,An Giang,63,Thành Phố Long Xuyên (55) | Thành Phố Châu Đốc (4) | Huyện Châu Phú (1),An Giang (63)
foody,210,D210.csv,Hưng Phú,Cần Thơ,2,Hưng Phú (2),Cần Thơ (2)
foody,211,D211.csv,Thành Phố Biên Hòa,Đồng Nai,508,Thành Phố Biên Hòa (500) | Huyện Long Thành (4) | Thị Xã Long Khánh (3),Đồng Nai (508)
foody,212,D212.csv,Huyện Long Thành,Đồng Nai,24,Huyện Long Thành (24),Đồng Nai (24)
foody,213,D213.csv,Thị Xã Long Khánh,Đồng Nai,25,Thị Xã Long Khánh (25),Đồng Nai (25)
foody,214,D214.csv,Huyện Trảng Bom,Đồng Nai,35,Huyện Trảng Bom (23) | Thành Phố Biên Hòa (10) | Huyện Vĩnh Cửu (2),Đồng Nai (35)
foody,215,D215.csv,Huyện Nhơn Trạch,Đồng Nai,24,Huyện Nhơn Trạch (24),Đồng Nai (24)
