RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Phở Cuốn Cần Thơ,10.0711073000000,105.7479522000000,"103 Đường Nguyễn Truyền Thanh, P. Bình Thuỷ, Quận Bình Thủy, Cần Thơ","Quán ăn, ","Phở, Phở Cuốn, Bún, Món nước, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ, ","Món Việt, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,no,no,8.000 -125.000,6.9,6.7,6.6,6.7,525
2,Cháo Cối MT68 - Lẩu Gà & Các Món Nhậu Bình Dân,10.0526220000000,105.7560840000000,"231 Đồng Văn Cống, P. An Thới, Quận Bình Thủy, Cần Thơ","Quán nhậu, ","Thịt Ếch, Cháo, ","Món Việt, ",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,yes,yes,yes,35.000 -250.000,8.3,7.9,8.6,8.2,22
3,Quán Kushin - Nướng & Lẩu Hàn Quốc,10.0480296000000,105.7580175000000,"249 Võ Văn Kiệt, P. An Thới, Quận Bình Thủy, Cần Thơ","Quán nhậu, ","Lẩu, ","Món Việt, ",15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,yes,yes,yes,19.000 -399.000,7.2,7.0,7.1,7.0,100
4,Ice summer - Kem Bơ & Bánh Flan Bơ,10.0588600000000,105.7428190000000,"95/4 Võ Văn Kiệt, KV Bình Nhựt, P . Long Hoà, Quận Bình Thủy, Cần Thơ","Café/Dessert, ","Đậu hũ, Bánh - Kẹo, Café - Kem, Ăn vặt - Ăn nhẹ, ","Món Việt, ",17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,17:30 - 22:00,yes,no,no,15.000 -30.000,8.3,7.9,7.3,7.9,88
5,Cát Tiên 2 - Quán Lẩu Mắm,10.0472463000000,105.7595569000000,"264 Võ Văn Kiệt, P. An Thới, Quận Bình Thủy, Cần Thơ","Quán ăn, ","Lẩu, ","Món Việt, ",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,no,no,no,79.000 -379.000,7.6,7.4,7.4,7.4,22
6,Bánh Cuốn Nóng Dì Ba - Trần Quang Diệu,10.0585900000000,105.7664500000000,"200 Trần Quang Diệu, P. An Thới, Quận Bình Thủy, Cần Thơ","Quán ăn, ","Bánh ướt, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ, ","Món Việt, Món Miền Nam, ","06:00 - 11:00, 15:00 - 20:00","06:00 - 11:00, 15:00 - 20:00","06:00 - 11:00, 15:00 - 20:00","06:00 - 11:00, 15:00 - 20:00","06:00 - 11:00, 15:00 - 20:00","06:00 - 11:00, 15:00 - 20:00",06:00 - 11:00,no,no,no,20.000 -20.000,8.1,7.8,7.6,7.7,37
7,Micky' s - Bar& Grill,10.0483300000000,105.7583740000000,"202 Võ Văn Kiệt, P. An Thới, Quận Bình Thủy, Cần Thơ","Quán nhậu, ",,"Món Việt, ",09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,yes,yes,yes,39.000 -969.000,8.5,8.7,8.9,8.4,15
8,Quán Diễm - Cháo Gà Ta 3 Món,10.0478110000000,105.7599810000000,"172 Nguyễn Đệ, Quận Bình Thủy, Cần Thơ","Quán ăn, ","Thịt Gà, Trà, Cháo, ","Món Việt, ",15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,no,no,no,110.000 -220.000,8.4,7.5,7.8,7.9,18
9,Minh Hòa - Lẩu Chay Rau Sạch,10.0375540000000,105.7431650000000,"273 Nguyễn Văn Linh, P. Long Tuyền, Quận Bình Thủy, Cần Thơ","Ăn chay, ","Hoành Thánh - Vằn Thắn, Món chay, ","Món Việt, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,no,no,no,30.000 -55.000,7.7,7.2,7.9,7.5,17
10,Hủ Tiếu Gõ 555,10.0578249000000,105.7617086000000,"555 Trần Quang Diệu, Quận Bình Thủy, Cần Thơ","Ăn vặt/vỉa hè, ","Bún, ","Món Việt, ",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,no,yes,yes,10.000 -30.000,8.2,7.9,8.0,8.1,17
