RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,"Nguyên - Cà Phê, Trà & Trà Trái Cây",10.0223500000000,105.7533100000000,"Phía Trước Chung Cư B2, Đường Trần Hoàng Na Mới, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,06:00 - 16:00,,no,no,no,,0.0,0.0,0.0,_._,0
2,Tiệm Cà Phê The The - Tụ Điểm The Mát,10.0226280000000,105.7628550000000,"9C Nguyễn Văn Linh, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Café - Kem ,  Thức uống ,  Nước ngọt ,  Trà sữa ,  Sữa",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,Món Việt,no,no,yes,14.000đ - 32.000,10.0,10.0,10.0,10.0,1
3,Cà Phê Ken Le - Cà Phê Sữa Bọt,10.0355993000000,105.7787108000000,"84 Lý Tự Trọng, P. An Cư, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà ,  Café - Kem ,  Thức uống ,  Trà sữa ,  Sữa",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,no,no,no,12.000đ - 28.000,8.1,7.7,7.9,7.9,79
4,Hamburger - Cà Phê Muối Gaga,10.0360680000000,105.7571020000000,"390/14 Nguyễn Văn Cừ, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Sinh tố - Nước ép ,  Thức uống",06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,,no,no,no,12.000đ - 15.000,0.0,0.0,0.0,_._,0
5,SongKim Coffee - Cà Phê & Trái Cây Mix Sẵn - Võ Văn Kiệt,10.0448608000000,105.7627542000000,"127/2E Võ Văn Kiệt, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Sinh tố - Nước ép ,  Thức uống",06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,,no,no,no,10.000đ - 30.000,0.0,0.0,0.0,_._,0
6,Dy Cát - Lẩu & Cà Phê,10.0347687000000,105.7587753000000,"391 Trần Nam Phú, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,Lẩu,07:00 - 20:30,07:00 - 20:30,07:00 - 20:30,07:00 - 20:30,07:00 - 20:30,07:00 - 20:30,07:00 - 20:30,,no,no,no,10.000đ - 119.000,0.0,0.0,0.0,_._,0
7,Le Monde Cafe - Mì Cay,10.0402617000000,105.7750689000000,"95E Huỳnh Thúc Kháng, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt ,  Sữa",18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,Món Việt,no,no,yes,10.000đ - 35.000,7.3,7.6,7.9,7.5,8
8,"Đại Quân Coffee - Cà Phê, Đá Xay & Matcha - Cao Minh Lộc",9.9988113000000,105.8057270000000,"I6-8 Cao Minh Lộc, KDC 586, P. Phú Thứ, Quận Cái Răng, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,"Món Việt ,  Món Miền Nam",no,no,no,,0.0,0.0,0.0,_._,0
9,"Nhất Anh Coffee House - Cà Phê, Trà & Cookie - Khu Dân Cư An Khánh",10.0383604000000,105.7530659000000,"137 Khu Dân Cư An Khánh, Đường Số 30, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,Món Việt,yes,no,yes,,0.0,0.0,0.0,_._,0
10,Ai Cà Phê - Bờ Hồ Bún Xáng,10.0334868000000,105.7640349000000,"57A Bờ Hồ Bún Xáng, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,,no,no,no,10.000đ - 49.000,0.0,0.0,0.0,_._,0
