RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
67,Tiệm Bánh SUMI,10.0349500000000,105.7731300000000,"C7 Đường Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bánh - Kẹo ,  Bánh tằm",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
68,Pizza Hut - Big C Cần Thơ,10.0139190000000,105.7848420000000,"Lô 1 KDC Hưng Phú 1, P. Hưng Phú, Quận Cái Răng, Cần Thơ",Nhà hàng,Pizza & Pasta,10:00 - 20:20,10:00 - 20:20,10:00 - 20:20,10:00 - 20:20,10:00 - 20:20,10:00 - 20:20,10:00 - 20:20,"Mỹ ,  Châu Mỹ",yes,no,yes,40.000đ - 165.000,8.1,7.8,7.9,7.7,243
69,Pizza Hut - Nguyễn Thái Học,10.0328670000000,105.7847170000000,"66 Nguyễn Thái Học, P. Tân An, Quận Ninh Kiều, Cần Thơ",Nhà hàng,"Gà rán ,  Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Fastfood - Thức ăn nhanh",10:00 - 21:20,10:00 - 21:20,10:00 - 21:20,10:00 - 21:20,10:00 - 21:20,10:00 - 21:20,10:00 - 21:20,Quốc tế,yes,no,yes,50.000đ - 500.000,8.0,7.5,7.7,7.6,102
70,Pizza Hut - Mậu Thân,10.0334930000000,105.7739560000000,"11B Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Nhà hàng,"Gà rán ,  Cơm Chiên ,  Pizza & Pasta ,  Cơm ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ ,  Châu Mỹ",no,yes,yes,40.000đ - 165.000,8.0,8.0,8.0,8.0,1
71,Pizza Hut - Nguyễn Văn Cừ,10.0519822000000,105.7731143000000,"202 Nguyễn Văn Cừ, P. An Hoà, Quận Ninh Kiều, Cần Thơ",Nhà hàng,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,50.000đ - 500.000,0.0,0.0,0.0,_._,0
72,Thế Giới Pizza - Phan Đình Phùng,10.0313243499639,105.7867489730163,"63 Phan Đình Phùng, Quận Ninh Kiều, Cần Thơ",Quán ăn,Pizza & Pasta,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,Món Việt,no,no,no,20.000đ - 80.000,7.3,7.0,6.2,7.2,10
73,Thế Giới Pizza - Nguyễn Văn Cừ Nối Dài,10.0380772557569,105.7602632045746,"Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,Pizza & Pasta,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,"Món Âu ,  Ý",no,yes,yes,20.000đ - 80.000,8.0,7.0,7.0,7.6,1
74,Thế Giới Pizza - Trần Phú,10.0495900000000,105.7853000000000,"164 Đường Trần Phú, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,"Món Âu ,  Ý",no,no,yes,20.000đ - 80.000,6.3,6.3,6.0,6.1,4
75,Vado Canteen - Food & Drink,10.0338200000000,105.7827990000000,"42 Đề Thám, P. An Cư, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà ,  Cháo ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,Món Việt,no,no,no,15.000đ - 50.000,5.7,5.3,6.0,5.9,11
76,Pizza VADO - Đề Thám,10.0338767000000,105.7828311000000,"42 Đề Thám, P. An Cư, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,,no,no,no,10.000đ - 300.000,0.0,0.0,0.0,_._,0
77,The Pizza Company - Sense City Cần Thơ,10.0341076000000,105.7859695000000,"Tầng 2, Lô L2 - 04 Sense City, 1 Hòa Bình, P. Tân An, Quận Ninh Kiều, Cần Thơ","Sang trọng , Nhà hàng","Gà rán ,  Sườn nướng ,  Chân cánh gà nướng ,  Pizza & Pasta ,  Salad ,  Fastfood - Thức ăn nhanh",09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,Quốc tế,no,yes,yes,50.000đ - 200.000,7.8,7.5,7.8,7.6,171
78,The Pizza Company - Mậu Thân,10.0343025000000,105.7733919000000,"17 Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Pizza & Pasta ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
