RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Vườn Nhãn - Gà Đá & Các Món Ăn Đồng Quê,10.0074300000000,105.7859110000000,"Đường Số 10, P. Hưng Thạnh, Quận Cái Răng, Cần Thơ",Quán ăn,Thịt Gà,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,Món Việt,no,no,no,15.000đ - 250.000,7.7,7.3,6.7,7.3,3
2,Miss - Ăn Vặt & Fastfood - Đồng Văn Cống,10.0520331000000,105.7567338000000,"82 Đồng Văn Cống, P. An Thới, Quận Bình Thủy, Cần Thơ",Quán ăn,"Bún ,  Mì ,  Miến",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,,,no,no,no,10.000đ - 90.000,0.0,0.0,0.0,_._,0
3,Khoai Lang Mr.Lắc - Khoai Lang Lắc & Khoai Tây Lắc - Mậu Thân,10.0352745000000,105.7733780000000,"30A Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Ăn vặt - Ăn nhẹ ,  Nem",17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,,,no,yes,yes,4.000đ - 20.000,0.0,0.0,0.0,_._,0
4,Pizza Hot,10.0314600000000,105.7856400000000,"14B Điện Biên Phủ, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,,no,no,no,,0.0,0.0,0.0,_._,0
5,Chị Dậu Food - Da Gà & Mề Gà Chiên Giòn - Trần Nam Phú,10.0328410000000,105.7626660000000,"58 Trần Nam Phú (Đoạn Gần Hồ Bún Xáng), P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,Gà rán,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,,,no,no,no,30.000đ - 100.000,0.0,0.0,0.0,_._,0
6,"Smile - Cake, Tea & Coffee - Trần Nam Phú",null,null,"390 Trần Nam Phú, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Đậu hũ ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Fastfood - Thức ăn nhanh",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,,,no,no,no,,0.0,0.0,0.0,_._,0
7,Hacker - Khoai Lắc & Gà Rán,10.0161570000000,105.7601460000000,"90C/3 Đường 3 Tháng 2, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Thịt Gà ,  Gà rán ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Fastfood - Thức ăn nhanh",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,,Món Việt,no,yes,yes,10.000đ - 30.000,0.0,0.0,0.0,_._,0
8,Mr Hạnh - Gà Rán & Khoai Lang Lắc,10.0547610000000,105.7708720000000,"92 Cách Mạng Tháng 8, P. Cái Khế, Quận Bình Thủy, Cần Thơ",Ăn vặt/vỉa hè,"Thịt Gà ,  Ăn vặt - Ăn nhẹ",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,,Món Việt,no,yes,yes,10.000đ - 100.000,7.0,9.0,8.0,7.6,1
9,Cơm Gà Xối Mỡ,10.0119326000000,105.7648441000000,"151/40A Trần Hoàng Na, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Gà xối mỡ",09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,,Món Việt,no,no,no,16.000đ - 20.000,8.0,6.0,6.0,7.0,1
10,Chicken Plus - Gà Rán Hàn Quốc - Cách Mạng Tháng 8,10.0536490000000,105.7717540000000,"70 Cách Mạng Tháng 8, P. CáI Khế, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Lẩu ,  Fastfood - Thức ăn nhanh",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,,no,no,no,20.000đ - 189.000,0.0,0.0,0.0,_._,0
