RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Sủi Cảo Ngọc Ý - Hà Tôn Quyền,10.7579335000000,106.6526384000000,"187 - 189 Hà Tôn Quyền, P. 7, Quận 11, TP. HCM","Quán ăn, ","Bún, Hủ tiếu, Mì, Món nước, Miến, Sủi cảo, Dimsum, ","Món Á, Món Trung Hoa, ",11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,11:00 - 01:00,yes,no,no,30.000 -60.000,7.2,6.7,6.3,6.7,248
2,Gà Rán Popeyes - Lê Đại Hành,10.7672440000000,106.6533310000000,"397A Lê Đại Hành, P. 11, Quận 11, TP. HCM","Nhà hàng, ","Thịt Gà, Gà rán, Hamburger, Salad, Cơm, Fastfood - Thức ăn nhanh, ","Mỹ, Châu Mỹ, ",09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,no,no,yes,30.000 -170.000,6.9,6.6,6.6,6.8,180
3,Trà Sữa Bòn Bon - Minh Phụng,10.7624865000000,106.6444898000000,"529 Minh Phụng, P. 10, Quận 11, TP. HCM","Ăn vặt/vỉa hè, ","Trà, Thức uống, Trà sữa, Sữa, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,yes,yes,yes,8.000 -17.000,7.4,6.8,6.2,7.0,263
4,Sapinkie - Ăn Vặt 4 Teen,10.7577241000000,106.6449616000000,"103/18 Thái Phiên, P. 2, Quận 11, TP. HCM","Ăn vặt/vỉa hè, Quán ăn, ","Sushi & Sashimi, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, Fastfood - Thức ăn nhanh, ","Món Việt, ",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,yes,no,yes,20.000 -80.000,6.5,6.5,6.1,6.3,163
5,Domino’s Pizza - Hòa Bình,10.7674280000000,106.6406720000000,"48 Hòa Bình, P. 5, Quận 11, TP. HCM","Nhà hàng, ","Pizza & Pasta, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh, ","Món Việt, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,yes,no,yes,49.000 -199.000,7.8,7.3,7.3,7.5,80
6,Miền Thảo Mộc - Cafe Sân Vườn,10.7630460000000,106.6448260000000,"554E Minh Phụng, P. 9, Quận 11, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Cơm văn phòng, Thức uống, Trà sữa, Sữa, ","Món Việt, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,no,no,30.000 -60.000,6.4,6.5,8.2,6.9,124
7,Singfood - Cơm Gà & Mì Vịt,10.7600180000000,106.6536120000000,"172/4 Tạ Uyên, P. 6, Quận 11, TP. HCM","Quán ăn, ","Thịt Gà, Bún, Mì, Thịt Vịt, Sủi cảo, Cơm văn phòng, Cơm, ","Món Việt, ","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59","00:01 - 02:00, 07:00 - 23:59",yes,no,yes,35.000 -300.000,7.5,7.4,7.2,7.3,149
8,Út Tuyền - Súp Cua,10.7746983000000,106.6532038000000,"162 Nguyễn Thị Nhỏ, P. 15, Quận 11, TP. HCM","Ăn vặt/vỉa hè, ","Cháo, Ăn vặt - Ăn nhẹ, Nem, ","Món Việt, ",13:30 - 23:00,13:30 - 23:00,13:30 - 23:00,13:30 - 23:00,13:30 - 23:00,13:30 - 23:00,13:30 - 23:00,no,yes,yes,10.000 -20.000,7.6,7.3,6.6,7.3,119
9,Ăn Vặt Thuý Hằng,10.7610919000000,106.6499545000000,"11 Dương Đình Nghệ, P. 8, Quận 11, TP. HCM","Ăn vặt/vỉa hè, ","Bánh tráng, Bún, Mì, Miến, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, Trái cây, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,yes,yes,10.000 -15.000,6.6,6.3,6.1,6.7,112
10,Mì Kéo Kungfu Khải Ký - Điểm Tâm Hongkong,10.7570620000000,106.6527740000000,"116 - 118 Hà Tôn Quyền, Quận 11, TP. HCM","Quán ăn, ","Thịt Ếch, Trà, Bún, Thịt Heo, Hải sản, Món nước, Mì, Bánh bao, Cháo, Bánh - Kẹo, Dimsum, Bánh tằm, Thức uống, ","Món Á, Món Trung Hoa, ","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30","08:00 - 11:00, 16:30 - 22:30",no,no,no,20.000 -55.000,7.8,7.3,7.2,7.4,94
