RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Ngọc Diễm - Trà Sữa Nhà Làm,10.7809732000000,106.6436950000000,"514 Âu Cơ, P. 10, Quận Tân Bình, TP. HCM","Ăn vặt/vỉa hè, ","Trà, Thức uống, Trà sữa, Sữa, ","Món Việt, ",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,no,yes,yes,15.000 -15.000,8.8,8.1,6.3,7.8,12
2,Rio - Cơm Văn Phòng,10.7941140000000,106.6559710000000,"8/63 Nguyễn Đình Khơi, P. 4, Quận Tân Bình, TP. HCM","Quán ăn, ","Cơm, ","Món Việt, ",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,no,no,no,12.000 -40.000,0.0,0.0,0.0,5.0,22
3,Bún Chả Hà Nội Năm Cửa Ô,10.8055010000000,106.6643810000000,"105 Trần Quốc Hoàn, P. 4, Quận Tân Bình, TP. HCM","Quán ăn, ","Bún, Món nước, ","Món Việt, ",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,no,yes,yes,40.000 -100.000,7.5,7.5,7.7,7.6,13
4,Súp Cua Hạnh - Phạm Văn Hai,10.7932870000000,106.6627350000000,"95 Phạm Văn Hai, Quận Tân Bình, TP. HCM","Ăn vặt/vỉa hè, ","Cua - Ghẹ, Hải sản, Súp, Ăn vặt - Ăn nhẹ, ","Món Việt, ",06:15 - 22:30,06:15 - 22:30,06:15 - 22:30,06:15 - 22:30,06:15 - 22:30,06:15 - 22:30,06:15 - 22:30,no,yes,yes,20.000 -55.000,0.0,0.0,0.0,5.1,19
5,Bánh Ướt Hoàng Trúc,10.7716230000000,106.6526560000000,"115 Nguyễn Thị Nhỏ, P. 9, Quận Tân Bình, TP. HCM","Quán ăn, ","Bánh ướt, Thịt Heo, Hải sản, Bánh - Kẹo, Bánh cuốn, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,no,no,no,20.000 -55.000,6.9,6.8,6.6,6.8,20
6,Ciao Gelato - Hoàng Hoa Thám,10.7966190000000,106.6471380000000,"2A Hoàng Hoa Thám, P. 12, Quận Tân Bình, TP. HCM","Café/Dessert, ","Café - Kem, ","Món Việt, ",08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,08:30 - 22:30,yes,no,yes,17.000 -50.000,9.1,8.6,8.4,8.7,10
7,Lạc Thái 6,10.7991130000000,106.6573320000000,"91 Nguyễn Thái Bình, P. 4, Quận Tân Bình, TP. HCM","Nhà hàng, ","Thịt Dê, Vịt quay, Thịt Ếch, ","Món Á, Món Thái, ","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30","10:30 - 14:00, 16:30 - 20:30",no,yes,yes,50.000 -300.000,8.1,7.2,7.6,7.4,11
8,Quán Ốc Ký,10.7906370000000,106.6470010000000,"129 Trần Mai Ninh, P. 11, Quận Tân Bình, TP. HCM","Ăn vặt/vỉa hè, ","Hải sản, Nghêu - Sò - Ốc, Gỏi, Ăn vặt - Ăn nhẹ, Trứng vịt lộn, ","Món Việt, ",14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,no,yes,yes,5.000 -65.000,0.0,0.0,0.0,5.2,16
9,Trần Ký - Chè & Các Món Ăn Vặt - Âu Cơ,10.7725870000000,106.6523810000000,"58/91 Âu Cơ, P. 9, Quận Tân Bình, TP. HCM","Ăn vặt/vỉa hè, ","Bánh mì, Chè, Ăn vặt - Ăn nhẹ, ","Món Việt, ","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59","00:01 - 01:30, 09:00 - 23:59",no,yes,yes,10.000 -15.000,6.9,6.2,0.0,6.2,26
10,Sinh Tố Tao Đàn - Út Tịch,10.7983350000000,106.6580590000000,"30 Út Tịch, P. 4, Quận Tân Bình, TP. HCM","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, ","Món Việt, ",07:30 - 21:30,07:30 - 21:30,07:30 - 21:30,07:30 - 21:30,07:30 - 21:30,07:30 - 21:30,07:30 - 21:30,yes,no,yes,15.000 -35.000,8.0,6.3,6.9,7.2,15
