RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
14,Koi Tea - Thạnh Phú,11.0109401000000,106.8422881999999,"6 Trục 16, P. Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Thức uống, ","Món Việt, ",08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,yes,no,yes,10.000 -25.000,0.0,0.0,0.0,_._,0
15,Kebab Torki - Vĩnh Tân,11.0436985000000,107.0185123000000,"351 Ấp 6, Xã Vĩnh Tân, Huyện Vĩnh Cửu, Đồng Nai","Ăn vặt/vỉa hè, ","Bánh mì, Ăn vặt - Ăn nhẹ, ","Thổ Nhĩ Kỳ, Đông Âu, ",05:30 - 21:30,05:30 - 21:30,05:30 - 21:30,05:30 - 21:30,05:30 - 21:30,05:30 - 21:30,05:30 - 21:30,no,yes,yes,13.000 -20.000,0.0,0.0,0.0,_._,0
16,Vịt Quay Bách Đạt,10.9989800000000,106.8085170000000,"126 Tỉnh Lộ 768, Xã Tân Bình, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Thịt Gà, Thịt Heo, Thịt Vịt, Xúc xích, ","Món Việt, Đài Loan, Món Trung Hoa, ",06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,06:00 - 18:00,no,no,no,100.000 -6.000.000,0.0,0.0,0.0,_._,0
17,Tân Triều - Nhà Hàng Lẩu Dê & Hải Sản,10.9992970000000,106.8061510000000,"Tỉnh Lộ 768, Xã Tân Bình, Huyện Vĩnh Cửu, Đồng Nai","Nhà hàng, ","Thịt Gà, Thịt Dê, Thịt Heo, Thịt Bò, Hải sản, Lẩu, Đặc sản rừng, Ăn vặt - Ăn nhẹ, ","Món Việt, ",10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,no,no,yes,50.000 -200.000,0.0,0.0,0.0,_._,0
18,Milano Coffee - Nguyễn Tất Thành,11.0887740805950,107.0339678227901,"2 Nguyễn Tất Thành, Thị Trấn Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, ","Món Việt, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,no,no,yes,10.000 -18.000,0.0,0.0,0.0,_._,0
19,Trà Sữa Miu Ti,11.0000760000000,106.8057100000000,"Xã Bình Hoà, Huyện Vĩnh Cửu, Đồng Nai","Ăn vặt/vỉa hè, Café/Dessert, ","Thức uống, Trà sữa, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,yes,no,yes,5.000 -20.000,0.0,0.0,0.0,_._,0
20,Nước Ép 2! Lan,10.9784740000000,106.7994053000000,"Khu 2 Ấp Bình Thạch, X. Bình Hòa, Huyện Vĩnh Cửu, Đồng Nai","Ăn vặt/vỉa hè, ","Sinh tố - Nước ép, Thức uống, Nước ngọt, ","Món Việt, ",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,no,yes,yes,15.000 -25.000,0.0,0.0,0.0,_._,0
21,Vy Vy Coffee,11.0117791273128,106.8400724861638,"1075 Ấp 5, Tỉnh Lộ 768, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Ăn vặt - Ăn nhẹ, ","Món Việt, ",05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,05:00 - 22:00,yes,no,yes,12.000 -25.000,0.0,0.0,0.0,_._,0
22,Coffee Koi,11.0960520000000,107.0387040000000,"Khu Phố 8, Xã Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai","Café/Dessert, ","Café - Kem, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,no,no,yes,15.000 -35.000,0.0,0.0,0.0,_._,0
23,"Tân Thịnh Phát - Dịch Vụ Tiệc Cưới, Liên Hoan",10.9858860000000,106.7954690000000,"Khu 1, Xã Bình Hoà, Huyện Vĩnh Cửu, Đồng Nai","Nhà hàng, ",,"Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,no,200.000 -550.000,0.0,0.0,0.0,_._,0
24,"Thu Thảo - Cơm, Phở & Hủ Tiếu",11.0080110000000,106.8258690000000,"Tỉnh Lộ 768, Huyện Vĩnh Cửu, Đồng Nai","Quán ăn, ","Phở, Cơm Tấm, Hủ tiếu, Món nước, Cơm, ","Món Việt, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,no,no,20.000 -35.000,0.0,0.0,0.0,_._,0
