RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Đậm Rooftop Cafe & BBQ,10.9611800000000,106.8495320000000,"148/9 Phan Trung, P. Tân Tiến, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, Café/Dessert, ","Thịt Gà, Cơm Chiên, Thịt Heo, Thịt Bò, Hải sản, Café - Kem, Sinh tố - Nước ép, Ăn vặt - Ăn nhẹ, Cơm, Nem, ","Món Việt, ",17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,no,no,yes,20.000 -40.000,6.5,6.5,6.6,6.5,267
2,Lẩu Tôm 5 Ri Sài Gòn - CMT8,10.9507250000000,106.8088510000000,"20/3C Khóm 5, P. Hòa Bình, CMT8, Thành Phố Biên Hòa, Đồng Nai","Quán ăn, ","Thịt Gà, Tôm, Thịt Bò, Thịt Heo, Hải sản, Lẩu, Thức uống, Bia, Nước ngọt, ","Món Việt, ",10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,10:30 - 22:30,no,yes,yes,80.000 -132.000,8.0,7.0,7.1,7.3,116
3,Wellington Restaurant & Cafe,10.9576080000000,106.8608360000000,"7/19 Lê Quý Đôn, P. Tân Hiệp, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Bún, Hải sản, Miến, ","Món Việt, Món Âu, ",06:30 - 23:00,06:30 - 23:00,06:30 - 23:00,06:30 - 23:00,06:30 - 23:00,06:30 - 23:00,06:30 - 23:00,no,yes,yes,59.000 -789.000,6.7,6.5,6.9,6.7,101
4,Sườn Cây Korea BBQ & Beer - Võ Thị Sáu,10.9478960000000,106.8307569999999,"K13 Võ Thị Sáu, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Sang trọng, Nhà hàng, ","Thịt Heo, Sườn nướng, ","Món Việt, Quốc tế, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,30.000 -120.000,6.7,6.6,6.7,6.8,114
5,Tiệm Ăn Nhà Túc - 505 Nguyễn Ái Quốc,10.9720210000000,106.8768800000000,"505 Nguyễn Ái Quốc, P. Hố Nai, Thành Phố Biên Hòa, Đồng Nai","Ăn vặt/vỉa hè, ","Lẩu, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, Thức uống, ","Món Việt, Món Á, Món Hàn, ",10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,10:30 - 21:00,yes,yes,yes,15.000 -50.000,7.8,7.5,6.7,7.3,89
6,Chewy Chewy - Võ Thị Sáu,10.9514290000000,106.8414010000000,"235 Võ Thị Sáu, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Tiệm bánh, ","Bánh sinh nhật/Bánh kem, Chocolate/Socola, Cupcake, Bánh Su/Chour, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Bánh tằm, ","Món Việt, ",07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,07:30 - 22:00,no,no,yes,20.000 -70.000,7.1,6.6,7.4,7.0,59
7,Nhà Hàng Cây Dừa,10.9525550000000,106.8090520000000,"23/1A  Cách Mạng Tháng 8, P. Quang Vinh, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, Tiệc cưới/Hội nghị, ","Thịt Gà, Thịt Dê, Thịt Ếch, Thịt Bò, Bún, Thịt Heo, Hải sản, Lẩu, Cháo, Cá, Nghêu - Sò - Ốc, Mực, ","Món Việt, ",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,no,yes,yes,200.000 -550.000,7.1,6.8,7.0,7.0,48
8,Nakharat Thai Restaurant,10.9471000000000,106.8310910000000,"K52, Đường N2 , P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Tôm, Bún, Hải sản, Lẩu, Cá, ","Món Việt, Món Á, Món Thái, ",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,no,yes,yes,65.000 -390.000,7.1,7.0,7.3,7.1,51
9,Kichi Kichi Lẩu Băng Chuyền - BigC Tân Hiệp,10.9663095993787,106.8548962588956,"Shop 12 Big C Tân Hiệp, 1135 Nguyễn Ái Quốc,Khu Phố 2, P. Tân Hiệp, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ",,,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,no,209.000 -239.000,10.0,10.0,10.0,10.0,65
10,Nutri House - 30 Tháng 4,10.9490250000000,106.8202440000000,"329 Đường 30.4, P.Quyết Thắng, Thành Phố Biên Hòa, Đồng Nai","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Việt, ",07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,07:00 - 22:30,no,no,no,20.000 -50.000,7.5,6.9,6.2,6.8,83
11,Hotto - Món Ngon Trên Đĩa Nóng - Vincom Biên Hòa,10.9575080000000,106.8434300000000,"Tầng 4, TTTM Vincom Biên Hòa, 1096 Phạm Văn Thuận, P. Tân Mai, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Thịt Bò, Cơm văn phòng, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,66.000 -100.000,6.9,6.7,6.8,6.8,65
12,Gogi House - Quán Nướng Hàn Quốc - Pegasus,10.9471327000000,106.8246386000000,"Tầng 2, Tháp B, Tòa Nhà Pegasus, 53-55 Võ Thị Sáu, P. Quyết Thắng, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Gà rán, Bò nướng, Beefsteak - Bò né, Thịt Bò, Sườn nướng, Lẩu, Chân cánh gà nướng, ","Món Á, Món Hàn, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,50.000 -200.000,7.6,6.9,7.8,7.5,95
12,Gogi House - Quán Nướng Hàn Quốc - Vincom Biên Hòa,10.9575503000000,106.8436393000000,"Tầng 4, 9 -12 Vincom Biên Hòa, 1096 Phạm Văn Thuận, KP. 2, P. Tân Mai, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Gà rán, Bò nướng, Beefsteak - Bò né, Thịt Bò, Sườn nướng, Chân cánh gà nướng, ","Món Á, Món Hàn, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,yes,yes,50.000 -200.000,6.6,0.0,7.1,6.6,68
12,Gogi House - Quán Nướng Hàn Quốc - Võ Thị Sáu,10.9470450000000,106.8248100000000,"K29 Võ Thị Sáu, KP. 7, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Gà rán, Sườn nướng, Chân cánh gà nướng, ","Món Á, Món Hàn, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,yes,150.000 -500.000,9.0,9.0,9.2,9.1,40
13,Nhà Hàng Lẩu Neo Shabu Suki - Võ Thị Sáu,10.9472223000000,106.8276214000000,"F260 - F262 Võ Thị Sáu, Khu Phố 7, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Bún, Mì, Lẩu, ","Món Á, Món Thái, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,no,50.000 -220.000,7.4,0.0,7.2,6.9,108
13,Nhà Hàng Lẩu Neo Shabu Suki - Phan Trung,10.9621889000000,106.8540194000000,"23 Phan Trung, P. Tân Mai, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Thịt Bò, Thịt Heo, Món nước, Lẩu, Sushi & Sashimi, Hoành Thánh - Vằn Thắn, Sủi cảo, Cơm, ","Món Á, Món Thái, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,50.000 -220.000,0.0,0.0,0.0,_._,0
14,Gong Cha - Trà & Cà Phê - Đường D10,10.9467599000000,106.8302648000000,"K90 Đường D10, KP. 7, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Á, Đài Loan, ",09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,yes,no,yes,40.000 -60.000,7.9,7.8,7.9,7.7,72
15,Kichi Kichi Lẩu Băng Chuyền - Biên Hòa,10.9055820000000,106.8498410000000,"Shop 15 Tầng Trệt, BigC Biên Hòa, QL51, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Bò nướng, Thịt Gà, Bò Kho, Nấm, Thịt Bò, Beefsteak - Bò né, Bò lá lốt, Bê thui, Thịt Trâu, ","Món Á, Món Nhật, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,yes,149.000 -241.000,8.3,8.1,8.4,8.2,76
15,Kichi Kichi Lẩu Băng Chuyền - Vincom Biên Hòa,10.9576661639629,106.8430706861266,"Tầng 4, 9 - 12 Vincom Biên Hòa, 1096 Phạm Văn Thuận, KP. 2, P. Tân Mai, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Thịt Gà, Thịt Bò, Hải sản, Lẩu, Sushi & Sashimi, ","Món Á, Món Nhật, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,149.000 -308.000,6.7,6.6,7.2,6.9,58
15,Kichi Kichi Lẩu Băng Chuyền - Võ Thị Sáu,10.9479400000000,106.8321560000000,"K29 Võ Thị Sáu, KP. 7, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Lẩu, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,29.000 -300.000,7.7,8.2,7.9,8.0,17
15,Kichi Kichi Lẩu Băng Chuyền - Phạm Văn Thuận,10.9442184000000,106.8582017000000,"505 Đường Phạm Văn Thuận, KP. 2, P. Tam Hiệp, Thành Phố Biên Hòa, Đồng Nai","Quán ăn, ","Lẩu, ",,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,no,29.000 -299.000,0.0,0.0,0.0,_._,0
16,Mr. Lei - Quán Ăn Hàn Quốc - Phan Trung,10.9608780000000,106.8502380000000,"140 Phan Trung, P. Tân Tiến, Thành Phố Biên Hòa, Đồng Nai","Ăn vặt/vỉa hè, ","Ăn vặt - Ăn nhẹ, Thức uống, Xúc xích, Fastfood - Thức ăn nhanh, ","Món Á, Món Hàn, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,20.000 -37.000,9.3,9.5,9.3,9.4,98
16,Mr. Lei - Quán Ăn Hàn Quốc,10.9737050000000,106.8722400000000,"680/27 Nguyễn Ái Quốc, Khu Phố 6, Thành Phố Biên Hòa, Đồng Nai","Quán ăn, ","Thịt Gà, Món nước, Lẩu, Cơm, ","Món Á, Món Hàn, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,50.000 -200.000,9.7,9.8,9.6,9.7,94
16,Mr. Lei - Quán Ăn Hàn Quốc - Trung Dũng,10.9530714000000,106.8238831000000,"134 Đường 30 Tháng 4, Phường Trung Dũng, Thành Phố Biên Hòa, Đồng Nai","Quán ăn, ","Thịt Gà, Cơm Chiên, Thịt Bò, Cơm văn phòng, Cơm, ","Món Hàn, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,no,30.000 -150.000,9.8,9.8,9.7,9.7,76
17,Texas - Coffee & Tea House,10.9568490000000,106.8426070000000,"288B Võ Thị Sáu, P. Thống Nhất, Thành Phố Biên Hòa, Đồng Nai","Café/Dessert, ","Trà, Café - Kem, Thức uống, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,20.000 -50.000,7.2,7.4,7.8,7.5,54
18,Ngọc Cảnh - Nhà Hàng Gia Đình,10.9726890000000,106.8835310000000,"390 Nguyễn Ái Quốc, P. Hố Nai, Thành Phố Biên Hòa, Đồng Nai","Nhà hàng, ","Thịt Gà, Cơm Chiên, Thịt Heo, Thịt Bò, Hải sản, Lẩu, Cá, Cơm, Thức uống, ","Món Việt, ",09:00 - 22:30,09:00 - 22:30,09:00 - 22:30,09:00 - 22:30,09:00 - 22:30,09:00 - 22:30,09:00 - 22:30,no,yes,no,50.000 -200.000,7.2,6.9,6.9,7.0,41
