RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Kichi Kichi - AEON Mall Bình Dương,10.9308500000000,106.7124071000000,"S2 Tầng 2AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Nhà hàng, ","Lẩu, ","Món Á, Món Nhật, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,yes,149.000 -308.000,7.6,7.6,7.9,7.7,154
2,GoGi House - Quán Nướng Hàn Quốc - AEON Mall Bình Dương,10.9321790000000,106.7114530000000,"S5 Tầng 2 AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Nhà hàng, ","Gà rán, Bò nướng, Thịt Heo, Thịt Bò, Hải sản, Sườn nướng, Chân cánh gà nướng, ","Món Á, Món Hàn, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,yes,100.000 -300.000,7.5,7.1,7.6,7.5,127
3,Mỹ Liên - Bánh Bèo Bì,10.9465180000000,106.6897060000000,"188A KP. Thạnh Hòa A Tỉnh Lộ 745, TT. An Thạnh, Thị Xã Thuận An, Bình Dương","Quán ăn, ","Bánh bèo, Ăn vặt - Ăn nhẹ, ","Món Việt, ",15:00 - 17:30,15:00 - 17:30,15:00 - 17:30,15:00 - 17:30,15:00 - 17:30,15:00 - 17:30,15:00 - 17:30,no,no,no,15.000 -33.000,8.1,7.2,7.0,7.4,64
4,Gong Cha - Trà & Cà Phê - AEON Mall Bình Dương,10.9328240000000,106.7115790000000,"Gian Hàng G25, Tầng Trệt AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, ","Món Á, Đài Loan, ",09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,yes,no,yes,20.000 -60.000,7.3,7.1,7.5,7.3,75
5,Aeon Canary Bình Dương (AEONESHOP),10.9325559000000,106.7120367000000,"1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Trung tâm thương mại, ",,"Món Việt, Món Á, Món Nhật, ",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,yes,yes,no,3.000 -900.000,7.9,7.5,7.8,7.7,73
6,Phúc Long AEON Mall Bình Dương,10.9324970000000,106.7113830000000,"G-31, Tầng Trệt AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, ","Món Việt, ",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,no,no,no,35.000 -100.000,7.4,6.8,7.3,7.0,89
7,Sumo BBQ - Aeon Mall Canary Bình Dương - Buffet Nướng & Lẩu,10.9322590000000,106.7116110000000,"Tầng 2 Aeon Mall Canary Bình Dương, Đại Lộ Bình Dương, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Nhà hàng, Buffet, ","Thịt Gà, Gà rán, Bò nướng, Thịt Heo, Thịt Bò, Hải sản, Sườn nướng, Cá, Chân cánh gà nướng, Mực, Ăn vặt - Ăn nhẹ, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,250.000 -400.000,8.0,7.6,8.0,7.9,39
8,"Phương Nam - Ẩm thực Á, Âu",10.8705857104486,106.7127256786345,"15/12 Ấp Trung Quốc Lộ 13, Xã Vĩnh Phú, Thị Xã Thuận An, Bình Dương","Nhà hàng, Tiệc cưới/Hội nghị, ","Thịt Gà, Thịt Bò, Thịt Heo, Hải sản, Lẩu, ","Món Việt, Món Á, Món Âu, ",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,no,yes,yes,30.000 -440.000,6.5,6.4,6.7,6.5,52
9,Lẩu Tươi MK - AEON Mall Bình Dương,10.9374130000000,106.7094470000000,"S-12A, Tầng 2, AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Nhà hàng, ","Lẩu, ","Món Á, Món Thái, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,no,200.000 -300.000,6.8,6.8,7.0,6.9,55
10,Marukame Udon - AEON Mall Bình Dương,10.9332740000000,106.7117110000000,"A-15, Tầng 2 AEON Mall Bình Dương, 1 Đại Lộ Bình Dương, KP. Bình Giao, P. Thuận Giao, Thị Xã Thuận An, Bình Dương","Nhà hàng, ","Món nước, Mì, Sushi & Sashimi, Ăn vặt - Ăn nhẹ, Cơm, ","Món Á, Món Nhật, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,yes,30.000 -50.000,7.8,7.5,7.9,7.6,43
