RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,188 Hongkong Dimsum,10.9783490000000,106.6607400000000,"249 Thích Quảng Đức, P. Chánh Nghĩa, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Bún ,  Hủ tiếu ,  Mì ,  Dimsum ,  Cơm văn phòng ,  Cơm",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,"Món Á ,  Món Trung Hoa",no,yes,no,12.000đ - 65.000,3.0,3.0,3.5,4.0,2
2,Dimsum Hân Hân - Há Cảo & Xíu Mại - Cách Mạng Tháng Tám,10.9148440000000,106.6966139000000,"B70B Cách Mạng Tháng 8, P. Bình Nhâm, Thị Xã Thuận An, Bình Dương",Ăn vặt/vỉa hè,"Bánh bao ,  Bánh - Kẹo ,  Dimsum",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,,no,yes,yes,8.000đ - 50.000,0.0,0.0,0.0,_._,0
3,Bao Hot Pot - Hainan Haus Sora Gardens,11.0471126000000,106.6790944000000,"Tầng Trệt Toà Nhà Sora Gardens II, Lô C17 Đại Lộ Hùng Vương, P. Phú Mỹ, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,Dimsum,"11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00","11:00 - 14:00
16:00 - 21:00",,no,no,no,,0.0,0.0,0.0,_._,0
4,Đậu Hủ Thối Đài Loan - KDC Việt Sing,10.9424029000000,106.7304151000000,"Ô 47 - DC29 Đường D1, KDC Việt Sing, P. An Phú, Thị Xã Thuận An, Bình Dương",Quán ăn,"Bún ,  Mì ,  Dimsum ,  Ăn vặt - Ăn nhẹ ,  Nem",11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,no,no,no,,0.0,0.0,0.0,_._,0
5,Phá Lấu Vinh Bụng Bự (Quán Gốc) - Phạm Ngũ Lão,10.9829693000000,106.6545739000000,"21 Phạm Ngũ Lão, P. Phú Cường, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Bánh mì ,  Bánh - Kẹo ,  Dimsum ,  Ăn vặt - Ăn nhẹ ,  Nem ,  Cá/bò viên",16:00 - 21:30,16:00 - 21:30,16:00 - 21:30,16:00 - 21:30,16:00 - 21:30,16:00 - 21:30,16:00 - 21:30,,no,no,no,,0.0,0.0,0.0,_._,0
6,Mì Sủi Cảo A Bư - Trần Văn Ơn,10.9792490000000,106.6757350000000,"168 Trần Văn Ơn, P. Phú Lợi, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Bún ,  Mì ,  Dimsum ,  Cơm",06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,,no,no,no,,0.0,0.0,0.0,_._,0
7,Mì Kéo Hồ Ký - Nguyễn An Ninh,10.8927452000000,106.7673118000000,"6 Nguyễn An Ninh, P. Dĩ An, Thị Xã Dĩ An, Bình Dương","Café/Dessert , Quán ăn","Bún ,  Thịt Bò ,  Hủ tiếu ,  Mì ,  Miến ,  Dimsum","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30","06:00 - 12:00
16:00 - 21:30",,no,no,no,10.000đ - 80.000,0.0,0.0,0.0,_._,0
8,Chân Gà Sốt Thái - Nguyễn Du,10.9108590000000,106.7691080000000,"19 Nguyễn Du, P. Dĩ An, Thị Xã Dĩ An, Bình Dương",Quán ăn,"Dimsum ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Nem",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
9,CHU CJ JIAN MIAN - Quán Ăn Món Trung,11.0551523000000,106.6890132000000,"314 Đồng Khởi, Khu Phố 3, P. Hòa Phú, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Bún ,  Mì ,  Miến ,  Dimsum ,  Halal",06:30 - 19:30,06:30 - 19:30,06:30 - 19:30,06:30 - 19:30,06:30 - 19:30,06:30 - 19:30,06:30 - 19:30,,no,no,no,15.000đ - 200.000,0.0,0.0,0.0,_._,0
10,Gà Ủ Muối & Ăn Vặt Ngọc Dung - 39/2/78 Đường Thống Nhất,10.8949274000000,106.7937512000000,"39/2/78 Đ. Thống Nhất, KP Nội Hoá 1, P. Bình An, Thị Xã Dĩ An, Bình Dương",Quán ăn,"Ăn vặt - Ăn nhẹ ,  Nem ,  Cá/bò viên",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
