RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Cabin Coffee,10.0289929000000,105.7725558000000,"Hẻm 116, Đường 3 Tháng 2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ","Café/Dessert, Rạp chiếu phim, ","Café - Kem, Sinh tố - Nước ép, Thức uống, Sữa, ","Món Việt, ",08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,yes,no,yes,20.000 -30.000,8.0,7.8,7.7,7.7,199
2,Pancake Sam Sam - Mậu Thân,10.0297090000000,105.7741570000000,"34 Mạc Thiên Tích, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ","Ăn vặt/vỉa hè, ","Đậu hũ, Chè, Lẩu, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,yes,yes,15.000 -35.000,8.0,7.6,8.1,7.8,309
3,Tiệm bánh TRỨNG GÀ VÀNG,10.0308566000000,105.7767812000000,"158/29A Nguyễn Việt Hồng, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ","Café/Dessert, ","Bánh - Kẹo, Café - Kem, Sinh tố - Nước ép, Thức uống, Cocktail, Trà sữa, ","Món Việt, ",,,,,,,,no,no,yes,10.000 -50.000,8.2,8.3,8.9,8.1,236
4,Resto - Nhà Hàng Ý,10.0341188000000,105.7811535000000,"44 Lý Tự Trọng, P. An Cư, Quận Ninh Kiều, Cần Thơ","Nhà hàng, Café/Dessert, ","Cơm Chiên, Bún, Mì, Lẩu, Miến, Pizza & Pasta, Café - Kem, Sinh tố - Nước ép, Cơm, Thức uống, Xúc xích, Fastfood - Thức ăn nhanh, ","Món Âu, Ý, ",,,,,,,,yes,no,no,20.000 -132.000,7.0,6.9,6.9,6.9,668
5,Snow Ice - Kem Tuyết Cần Thơ,10.0378831000000,105.7789656000000,"75 Huỳnh Cương, P. An Cư, Quận Ninh Kiều, Cần Thơ","Café/Dessert, ","Café - Kem, Trái cây, ","Món Việt, ",,,,,,,,no,no,yes,20.000 -40.000,8.2,8.2,8.3,7.9,270
6,Ma Famille Cafeteria,10.0346680000000,105.7809160000000,"85-87 Trương Định, P. An Cư, Quận Ninh Kiều, Cần Thơ","Café/Dessert, Tiệm bánh, ","Bánh - Kẹo, Café - Kem, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,yes,yes,yes,20.000 -75.000,7.9,8.1,8.6,7.9,233
7,Lumos Coffee & Cake - Trần Hưng Đạo,10.0359230000000,105.7756480000000,"186 Trần Hưng Đạo, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ","Café/Dessert, Tiệm bánh, ","Trà, Bánh sinh nhật/Bánh kem, Bánh - Kẹo, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,yes,no,yes,16.000 -29.000,7.1,7.0,7.1,7.0,838
7,Lumos Bakery & Joy - Bánh Âu & Trà - 6 Phan Văn Trị,10.0329180000000,105.7802160000000,"6 Phan Văn Trị, P. An Phú, Quận Ninh Kiều, Cần Thơ","Café/Dessert, ","Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Trà sữa, Sữa, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,yes,16.000 -29.000,7.1,7.0,6.9,7.0,43
8,Kichi Kichi Lẩu Băng Chuyền - Vincom Cần Thơ,10.0452610000000,105.7793280000000,"Vincom Cần Thơ, 2 Hùng Vương, Quận Ninh Kiều, Cần Thơ","Sang trọng, Nhà hàng, ","Lẩu, ","Món Việt, Món Á, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,no,no,yes,150.000 -250.000,8.3,8.1,8.2,8.0,180
8,Kichi Kichi Lẩu Băng Chuyền - Vincom Xuân Khánh,10.0246830000000,105.7743490000000,"Lầu 4 Vincom Xuân Khánh, Đường 30 Tháng 4, Quận Ninh Kiều, Cần Thơ","Nhà hàng, ","Lẩu, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,200.000 -500.000,8.5,8.5,8.5,8.4,138
8,Kichi Kichi Lẩu Băng Chuyền - Lotte Mart Cần Thơ,10.0424410000000,105.7667620000000,"Tầng Trệt Lotte Mart Cần Thơ, 84 Mậu Thân, P. An Hòa, Quận Ninh Kiều, Cần Thơ","Nhà hàng, ","Lẩu, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,29.000 -300.000,8.7,9.0,9.0,8.5,3
9,Mỳ cay Itada - Đường 3 Tháng 2,10.0291238000000,105.7717093000000,"116B Đường 3 Tháng 2, Quận Ninh Kiều, Cần Thơ","Quán ăn, ","Thịt Bò, Bún, Mì, Món nước, Lẩu, ","Món Á, Món Hàn, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,yes,no,30.000 -120.000,7.4,7.1,7.5,7.4,404
9,Mỳ cay Itada - Nguyễn Văn Cừ,10.0466520000000,105.7684735000000,"287 Nguyễn Văn Cừ, P. An Hòa, Quận Ninh Kiều, Cần Thơ","Quán ăn, ","Bún, Mì, Món nước, Lẩu, Cơm, Thức uống, ","Món Á, Món Hàn, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,no,yes,20.000 -50.000,6.9,7.1,7.1,7.0,28
9,Mỳ cay Itada - 404A1 Nguyễn Văn Cừ Nối Dài,10.0330900000000,105.7547990000000,"404A1 Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ","Quán ăn, ","Bún, Thịt Heo, Mì, Món nước, Lẩu, Miến, Ăn vặt - Ăn nhẹ, Cơm, ","Món Việt, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,no,no,yes,30.000 -60.000,6.7,6.5,6.4,6.6,21
