RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
1,Quán Cơm Phúc Ký,10.0261859000000,105.7582163000000,"410F Nguyễn Văn Linh, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Đậu hũ ,  Hải sản ,  Cá ,  Cơm",14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,14:00 - 22:00,Món Việt,no,no,no,20.000đ - 50.000,0.0,0.0,0.0,_._,0
2,Thu Vân - Cơm Tấm,10.0031237107131,105.7505187392234,"Gần 456 Nguyễn Trãi, P. Lê Bình, Quận Cái Răng, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,Món Việt,no,no,no,20.000đ - 25.000,0.0,0.0,0.0,_._,0
3,"A Nỳ - Cơm Sườn, Bún Thịt Nướng & Ăn Vặt - Cách Mạng Tháng Tám",10.0621200000000,105.7673900000000,"286/55, Hẻm 286 Đường Cách Mạng Tháng Tám, P. Bùi Hữu Nghĩa, Quận Bình Thủy, Cần Thơ",Quán ăn,"Cơm Tấm ,  Bún ,  Ăn vặt - Ăn nhẹ ,  Cơm",00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,,no,no,no,,0.0,0.0,0.0,_._,0
4,Quán Cơm Ngọc Thủy,10.0706400064909,105.7550526782870,"560 Cách Mạng Tháng 8, P. Bùi Hữu Nghĩa, Quận Bình Thủy, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,no,15.000đ - 30.000,0.0,0.0,0.0,_._,0
5,Cơm Tấm 74,10.0411940000000,105.7671670000000,"74 Mậu Thân, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Thịt Heo ,  Cơm",16:30 - 21:00,16:30 - 21:00,16:30 - 21:00,16:30 - 21:00,16:30 - 21:00,16:30 - 21:00,16:30 - 21:00,Món Việt,no,no,no,25.000đ - 35.000,0.0,0.0,0.0,_._,0
6,Cafe Sao Mai - Cơm Tấm Mẫn Long Xuyên,10.0485310000000,105.7628630000000,"118 Nguyễn Đệ, P. An Thới, Quận Bình Thủy, Cần Thơ",Quán ăn,"Cơm Tấm ,  Thịt Heo ,  Cơm",06:00 - 17:00,06:00 - 17:00,06:00 - 17:00,06:00 - 17:00,06:00 - 17:00,06:00 - 17:00,06:00 - 17:00,Món Việt,no,no,no,12.000đ - 30.000,0.0,0.0,0.0,_._,0
7,Cơm Chú Tám 18K,10.0292300000000,105.7718018000000,"116 Đường 3 Tháng 2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Ăn vặt - Ăn nhẹ ,  Nem",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,,no,no,no,18.000đ - 30.000,0.0,0.0,0.0,_._,0
8,Cơm Tấm Dì Chi - KDC Xây Dựng,10.0073442000000,105.7907257000000,"F22 Đường Số 6, KDC Xây Dựng (Cạnh Khu Nam Long), P. Hưng Thạnh, Quận Cái Răng, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,,no,no,no,30.000đ - 55.000,0.0,0.0,0.0,_._,0
9,Cơm Tấm Gia,10.0189500000000,105.7697300000000,"233 Nguyễn Văn Linh, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,,no,no,no,,0.0,0.0,0.0,_._,0
10,Cơm Tấm Minh Phát,10.0239000000000,105.7666400000000,"55A Đường 3 Tháng 2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bánh mì ,  Cơm Tấm ,  Bánh - Kẹo ,  Cơm","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59","00:01 - 02:00
17:00 - 23:59",,no,no,no,,0.0,0.0,0.0,_._,0
11,Quán Chay NHẤT TÂM - Tiệm Ăn Chay - Nguyễn Văn Cừ Nối Dài,10.0210000000000,105.7418610000000,"324/10 Nguyễn Văn Cừ Nối Dài, P. An Bình, Quận Ninh Kiều, Cần Thơ",Ăn chay,"Bún ,  Món chay ,  Cơm văn phòng ,  Cơm",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,,no,no,no,,0.0,0.0,0.0,_._,0
12,Cơm Tấm - Sườn Muối,10.0416299133098,105.7788066565990,"2/20C Đinh Tiên Hoàng, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,Món Việt,no,no,no,35.000đ - 66.000,7.1,4.7,4.7,5.7,10
13,Bánh Mì Suy Mê,10.0179600000000,105.7587000000000,"112/46B Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,"Món Việt ,  Món Miền Nam",no,no,no,,0.0,0.0,0.0,_._,0
14,Cơm Tấm 504,10.0184793000000,105.7666469000000,"504 Đường 30 Tháng 4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Cơm Tấm ,  Thịt Heo ,  Cơm",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,Món Việt,no,no,no,15.000đ - 15.000,7.7,7.3,6.7,7.4,43
15,Tiệm Cơm Khuya Cô Vy,10.0377780000000,105.7714410000000,"128A Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Cơm Tấm ,  Thịt Heo ,  Thịt Bò ,  Hải sản ,  Sườn nướng ,  Cơm văn phòng ,  Cơm",16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,16:00 - 23:30,Món Việt,no,no,no,18.000đ - 32.000,0.0,0.0,0.0,_._,0
16,Cơm Tấm Ba Long - Hai Bà Trưng,10.0311871000000,105.7878469000000,"134 Hai Bà Trưng, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",07:00 - 12:30,07:00 - 12:30,07:00 - 12:30,07:00 - 12:30,07:00 - 12:30,07:00 - 12:30,07:00 - 12:30,,no,no,no,8.000đ - 42.000,0.0,0.0,0.0,_._,0
17,"Quán 66 Cường - Cơm Tấm, Bánh Mì & Xôi",10.0499600000000,105.7719100000000,"292 Nguyễn Văn Cừ, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bánh mì ,  Cơm Tấm ,  Xôi ,  Bánh - Kẹo ,  Cơm văn phòng ,  Cơm",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
18,Cháo Lòng & Cơm Tấm - Bùi Hữu Nghĩa,10.0682005050754,105.7575684727220,"Hẻm 482 Bùi Hữu Nghĩa, Quận Bình Thủy, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cháo ,  Ăn vặt - Ăn nhẹ ,  Cơm",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,no,5.000đ - 30.000,0.0,0.0,0.0,_._,0
19,Quán Ăn Cây Xoài - KDC An Khánh,10.0392800000000,105.7555400000000,"29 Đường 20, KDC An Khánh, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm văn phòng ,  Cơm",05:00 - 16:00,05:00 - 16:00,05:00 - 16:00,05:00 - 16:00,05:00 - 16:00,05:00 - 16:00,05:00 - 16:00,,no,no,no,,0.0,0.0,0.0,_._,0
20,Vieboo - Healthy Food & Drink,10.0249140000000,105.7734620000000,"7 Trần Văn Hoài, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Thịt Bò ,  Bún ,  Hủ tiếu ,  Ăn vặt - Ăn nhẹ ,  Cơm",06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,Món Việt,no,no,no,20.000đ - 79.000,9.8,9.0,9.0,9.0,4
21,Cơm Tấm Epal,10.0399276434450,105.7780185365637,"4 Huỳnh Cương, Quận Ninh Kiều, Cần Thơ",Quán ăn,Cơm,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,no,20.000đ - 25.000,8.0,8.0,8.0,7.8,1
22,Nam Bộ Restaurant,10.0336530000000,105.7883010000000,"1 Ngô Quyền, Quận Ninh Kiều, Cần Thơ",Nhà hàng,"Tôm ,  Cơm Tấm ,  Bún ,  Thịt Heo ,  Thịt Bò ,  Hải sản ,  Món nước ,  Cơm",06:30 - 20:30,06:30 - 20:30,06:30 - 20:30,06:30 - 20:30,06:30 - 20:30,06:30 - 20:30,06:30 - 20:30,Món Việt,no,no,yes,40.000đ - 40.000,0.0,0.0,0.0,_._,0
23,Cơm Tấm Thúy An,9.9977437237666,105.7496912777424,"281 Phạm Hùng, P. Lê Bình, Quận Cái Răng, Cần Thơ",Quán ăn,Cơm,07:00 - 12:00,07:00 - 12:00,07:00 - 12:00,07:00 - 12:00,07:00 - 12:00,07:00 - 12:00,07:00 - 12:00,Món Việt,no,no,no,15.000đ - 30.000,0.0,0.0,0.0,_._,0
24,Cơm Phuya Metro - Cơm Đêm - 14 Trần Văn Hoài,10.0256740000000,105.7727660000000,"Số 14 Trần Văn Hoài, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Bún ,  Cơm",18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,18:00 - 23:00,,no,no,no,,0.0,0.0,0.0,_._,0
25,Quán Cơm 67 - Cơm Tấm Chuẩn Long Xuyên - Trần Chiên,10.0037500000000,105.7551110000000,"113/2 Trần Chiên, P. Lê Bình, Quận Cái Răng, Cần Thơ","Ăn vặt/vỉa hè , Quán ăn","Cơm Tấm ,  Cơm",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,"Món Việt ,  Món Miền Nam",no,no,no,,0.0,0.0,0.0,_._,0
26,Cơm Tấm Hoàng Tử,10.0159200000000,105.7624032000000,"602 Đường 30 Tháng 4, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Bún ,  Cơm",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
27,Cơm Tấm Cô Hai - Đường 3 Tháng 2,10.0162000000000,105.7539600000000,"12/33 Đường 3 Tháng 2, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,,no,no,no,,0.0,0.0,0.0,_._,0
28,Cơm Tấm Ngon - Trần Chiên,9.9962214000000,105.7578446000000,"007 Khu Vực Thạnh Mỹ, Trần Chiên, P. Thường Thạnh, Quận Cái Răng, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,,no,no,no,10.000đ - 35.000,0.0,0.0,0.0,_._,0
29,Bạch Tỷ - Cà Phê & Cơm Tấm Nhuyễn,10.0113614000000,105.7883506000000,"A21 Đường Số 2, KDC Công Ty 8, P. Hưng Thạnh, Quận Cái Răng, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:30 - 16:30,06:30 - 16:30,06:30 - 16:30,06:30 - 16:30,06:30 - 16:30,06:30 - 16:30,06:30 - 16:30,,no,no,no,10.000đ - 50.000,0.0,0.0,0.0,_._,0
30,"Yumi - Cơm Tấm, Má Heo Nướng & Gà Nướng",10.0165100000000,105.7723400000000,"Đầu Hẻm 304, Đường Tầm Vu, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Lẩu ,  Cơm",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
