RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
1,Bún Bò Huế Mạ Tôi - Lẩu Sườn Bò - 333 Nguyễn Văn Linh,10.028789,105.756762,"333 Nguyễn Văn Linh, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Bò ,  Bún",05:00 - 21:00,05:00 - 21:00,05:00 - 21:00,05:00 - 21:00,05:00 - 21:00,05:00 - 21:00,05:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
2,Cơm Gà Anh Ký,10.020749,105.7828131,"Chợ Khu Dân Cư Hưng Phú, Đường A2, P. Hưng Phú, Quận Cái Răng, Cần Thơ",Quán ăn,"Cơm Chiên ,  Cơm",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
3,Hủ Tíu Mì Viễn Lạc,10.0274004,105.7861773,"209 Phan Đình Phùng, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Heo ,  Hủ tiếu ,  Mì ,  Món nước",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,Món Việt,no,no,no,30.000 - 50.000,0.0,0.0,0.0,4.5,0.0
6,"Quán A Hón - Cơm, Mì Hủ Tíu Bánh Canh Sốt Khô - Phan Đình Phùng",10.030521,105.786575,"70 Phan Đình Phùng, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bún ,  Thịt Heo ,  Món nước ,  Bánh - Kẹo ,  Cơm ,  Bánh tằm",07:00 - 19:30,07:00 - 19:30,07:00 - 19:30,07:00 - 19:30,07:00 - 19:30,07:00 - 19:30,07:00 - 19:30,Món Việt,no,no,no,20.000 - 20.000,10.0,10.0,5.0,4.5,4.5
7,Hủ Tíu Nam Vang Phi Yến,10.05893,105.76076,"153 Trần Quang Diệu, P. An Thới, Quận Bình Thủy, Cần Thơ",Quán ăn,"Cơm Chiên ,  Bún ,  Hủ tiếu ,  Mì ,  Cơm",06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,06:00 - 23:30,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
1,"Cơm, Hủ Tiếu & Bánh Lọt",9.9914883121381,105.7500557228922,"Hàng Gòn, P. Thường Thạnh, Quận Cái Răng, Cần Thơ",Quán ăn,"Món nước ,  Cơm",06:00 - 09:00,06:00 - 09:00,06:00 - 09:00,06:00 - 09:00,06:00 - 09:00,06:00 - 09:00,,Món Việt,no,no,no,15.000đ - 15.000,8.0,5.0,5.0,0.0,4.1
2,Bánh Ướt & Hủ Tiếu - Ba Tháng Hai,10.0202044299197,105.7635639980435,"172 Ba Tháng Hai, Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,Ăn vặt - Ăn nhẹ,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,,Món Việt,no,yes,yes,10.000đ - 15.000,7.0,6.0,3.0,0.0,4.0
3,Hủ Tiếu & Bò Kho - Đường 30 Tháng 4,10.0121133795681,105.7593361660838,"571 Đường 30 Tháng 4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Hủ tiếu ,  Món nước",06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,06:30 - 15:00,,Món Việt,no,no,no,15.000đ - 25.000,8.1,8.2,8.0,0.0,4.5
4,Cháo Gà Tuyết Vân - Cháo Gỏi Gà & Miến Gà - Phan Đình Phùng,10.030334,105.786572,"83 Phan Đình Phùng, P. Tân An, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Thịt Gà ,  Cháo ,  Gỏi ,  Ăn vặt - Ăn nhẹ","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59","00:00 - 01:00
06:00 - 11:30
16:30 - 23:59",,Món Việt,no,yes,yes,25.000đ - 50.000,6.0,6.0,5.5,0.0,3.3
6,"Bún Riêu, Bún Mọc, & Hủ Tiếu - Cách Mạng Tháng 8",10.0523351904852,105.7730985805392,"9 Cách Mạng Tháng 8, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Quán ăn,Món nước,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,,Món Việt,no,no,no,15.000đ - 25.000,8.0,8.0,8.0,0.0,4.5
