RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
4,Cơm 68 - Quốc Lộ 56,10.833950730462,107.2359873153777,"Quốc Lộ 56, Ấp 1, Nhân Nghĩa, Huyện Cẩm Mỹ, Đồng Nai","Quán ăn, ","Thịt Gà, Sinh tố - Nước ép, Cơm văn phòng, Cơm, ","Món Việt, ",09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,no,yes,yes,20.000 -35.000,10.0,10.0,10.0,2.8,0.0
5,Bánh Xèo Cô Ế,10.870629,107.27868,"Ấp Nam Hà, Xã Xuân Bảo, Huyện Cẩm Mỹ, Đồng Nai","Ăn vặt/vỉa hè, ","Ăn vặt - Ăn nhẹ, ","Món Việt, ",15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,15:00 - 19:00,no,yes,yes,10.000 -20.000,10.0,9.0,6.0,4.2,0.0
6,Trà Sữa Hanaland - Trân Châu Nhà Làm,10.730206,107.113783,"Khu 2 Ấp Suối Cả, Xã Long Giao, Huyện Cẩm Mỹ, Đồng Nai","Café/Dessert, ","Trà, Ăn vặt - Ăn nhẹ, Thức uống, Trà sữa, Sữa, ","Món Việt, ",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,no,no,yes,8.000 -25.000,9.5,9.3,6.8,4.6,0.0
15,Five Star Vietnam - Phạm Văn Thuận,10.956866,106.845378,"255B Phạm Văn Thuận, P. Tân Mai, Thành Phố Biên Hòa, Đồng Nai","Quán ăn, ","Thịt Gà, Gà rán, Ăn vặt - Ăn nhẹ, Cá/bò viên, Xúc xích, Fastfood - Thức ăn nhanh, ","Quốc tế, ",08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,yes,no,no,10.000 -50.000,0.0,7.0,0.0,3.6,0.0
