RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
12,Cơm Tấm - Sườn Muối,10.0416299133098,105.778806656599,"2/20C Đinh Tiên Hoàng, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,08:00 - 22:30,Món Việt,no,no,no,35.000đ - 66.000,7.1,4.7,4.7,0.0,2.7
14,Cơm Tấm 504,10.0184793,105.7666469,"504 Đường 30 Tháng 4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Cơm Tấm ,  Thịt Heo ,  Cơm",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,Món Việt,no,no,no,15.000đ - 15.000,7.7,7.3,6.7,0.0,3.9
20,Vieboo - Healthy Food & Drink,10.024914,105.773462,"7 Trần Văn Hoài, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Thịt Bò ,  Bún ,  Hủ tiếu ,  Ăn vặt - Ăn nhẹ ,  Cơm",06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,Món Việt,no,no,no,20.000đ - 79.000,9.8,9.0,9.0,0.0,4.7
21,Cơm Tấm Epal,10.039927643445,105.7780185365637,"4 Huỳnh Cương, Quận Ninh Kiều, Cần Thơ",Quán ăn,Cơm,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,no,20.000đ - 25.000,8.0,8.0,8.0,0.0,4.4
33,Cơm Tấm 18 Cô Thanh,10.027028,105.780496,"Hẻm 50 Quang Trung, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,06:00 - 12:00,Món Việt,no,no,no,20.000đ - 25.000,9.2,8.3,7.7,0.0,4.5
37,A.Kin - Quán Cơm Tấm,10.022217,105.770472,"320/8 Trần Ngọc Quế, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Món Việt,no,no,no,10.000đ - 25.000,8.0,7.8,7.8,0.0,4.4
45,Dì Năm - Cơm Tấm Long Xuyên,10.0216914,105.7606,"33 Ngô Sỹ Liên, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Cơm Tấm ,  Thịt Heo ,  Cơm văn phòng ,  Cơm",06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,06:00 - 14:00,"Món Việt ,  Món Miền Nam",no,no,no,20.000đ - 40.000,8.0,9.0,9.0,0.0,4.4
46,Cơm Tấm Long Xuyên - Đường 30 Tháng 4,10.027486,105.777206,"188 Đường 30 Tháng 4, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,Món Miền Nam,yes,no,no,20.000đ - 30.000,7.3,6.9,5.7,0.0,3.9
50,Cơm Tấm Nhị Kiều,10.0424151,105.7779618,"Hùng Vương, P. An Cư, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Món Việt,no,no,no,20.000đ - 30.000,8.0,7.3,6.5,0.0,3.9
52,Cơm Tấm Bình Dân - Trần Hưng Đạo,10.038418,105.776525,"Hẻm 182 Trần Hưng Đạo, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",16:00 - 20:00,16:00 - 20:00,16:00 - 20:00,16:00 - 20:00,16:00 - 20:00,16:00 - 20:00,16:00 - 20:00,Món Việt,no,no,no,18.000đ - 25.000,7.8,7.8,6.6,0.0,4.3
53,Cơm Tấm Mũm Mỉn,10.028048,105.770428,"132 Đường 3/2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Gà ,  Cơm Tấm ,  Thịt Heo ,  Sườn nướng ,  Cơm văn phòng ,  Cơm",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,Món Việt,no,no,no,20.000đ - 35.000,4.0,1.0,2.0,0.0,0.6
54,Ngon Miệng Quá - Cơm Tấm Long Xuyên,10.0368739,105.771105,"49F Nguyễn Văn Trỗi, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 22:30,06:00 - 22:30,06:00 - 22:30,06:00 - 22:30,06:00 - 22:30,06:00 - 22:30,06:00 - 22:30,Món Việt,yes,no,no,20.000đ - 30.000,8.0,7.0,8.0,0.0,4.5
57,Cơm Tấm Hoàng Phát,10.0273791004772,105.7696217671036,"43 Đường 3 Tháng 2, Quận Ninh Kiều, Cần Thơ",Quán ăn,Cơm,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,Món Việt,no,no,no,13.000đ - 15.000,7.0,7.0,6.0,0.0,1.8
58,Cơm Tấm 71 - Nguyễn Văn Cừ,10.050347,105.772442,"71 Nguyễn Văn Cừ, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,17:00 - 22:00,"Miền Tây ,  Món Miền Nam",no,no,no,20.000đ - 28.000,7.0,8.0,7.0,0.0,4.2
60,Dĩnh Hằng - Quán Cơm Tấm Bình Dân,10.029183,105.779479,"104 Đường 30 Tháng 4, P. An Lạc, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,17:00 - 00:00,Món Việt,no,no,no,18.000đ - 30.000,7.8,7.8,7.9,0.0,4.3
61,Quán Cơm Kali,10.032,105.753531,"369 Nguyễn Văn Cừ, P. An Khánh,, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,Món Việt,no,no,no,20.000đ - 25.000,7.0,6.0,7.0,0.0,4.2
68,Cơm Tấm - Xô Viết Nghệ Tĩnh,10.037876,105.784417,"Hẻm 18 Xô Viết Nghệ Tĩnh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,Món Việt,no,no,no,15.000đ - 35.000,8.0,7.5,6.3,0.0,3.8
70,Cơm Tấm Mẵn - Nguyễn Văn Cừ,10.038945,105.760514,"138 Nguyễn Văn Cừ, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,Món Việt,no,no,no,17.000đ - 17.000,7.0,7.0,6.7,0.0,4.2
