RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
1,Cơm Tấm Ngô Quyền - 10/5 Nguyễn Hiền,10.8748765,106.8081957,"10/5 Nguyễn Hiền, KP Tân Lập, P. Đông Hòa, Dĩ An, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm văn phòng ,  Cơm",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,Món Việt,yes,no,yes,20.000 - 32.000,0.0,0.0,0.0,4.5,0.0
2,Cơm Tấm Hồng Phát - Quán Cơm Tấm Dĩ An - Thống Nhất,10.893802,106.7933384,"29B Đường Thống Nhất, P. Dĩ An, Dĩ An, Bình Dương",Quán ăn,"Cơm Tấm ,  Bún ,  Miến ,  Cơm",05:00 - 10:00,15:30 - 21:00,05:00 - 10:00,15:30 - 21:00,05:00 - 10:00,15:30 - 21:00,05:00 - 10:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
3,"Thế Giới Cơm Tấm - Cơm Tấm, Bún Thịt Nướng & Bánh Mì Thịt Nướng - Đường 30/4",10.9679134,106.6696662,"217 Đường 30/4, P. Phú Thọ, Thị xã Thủ Dầu Một, Bình Dương",Quán ăn,"Cơm Tấm ,  Bún ,  Cơm",08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,08:00 - 23:59,Món Việt,no,no,yes,27.000 - 50.000,0.0,0.0,0.0,4.5,0.0
4,Cơm Tấm 91B - Làng Đại Học,10.8725416,106.7978037,"10/9 Khu phố Tân Lập, P. Đông Hòa, Dĩ An, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
5,Cơm Tấm Đêm Anh Béo - Cơm Tấm Phá Lấu & Cơm Tấm Xá Xíu,10.9039071,106.7701682,"66 Đường Trần Quốc Toản, P. Dĩ An, Dĩ An, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 08:30,17:00 - 23:59,06:00 - 08:30,17:00 - 23:59,06:00 - 08:30,17:00 - 23:59,06:00 - 08:30,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
12,Cơm Tấm 39,10.921541,106.767021,"66A Lê Hồng Phong, P. Tân Đông Hiệp, Thị Xã Dĩ An, Bình Dương",Quán ăn,"Bánh ướt ,  Cơm Tấm ,  Bún ,  Bánh - Kẹo ,  Bánh bèo ,  Cơm",06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,Món Việt,no,no,no,18.000đ - 30.000,9.0,2.0,5.0,0.0,3.8
16,Cơm Tấm,10.9641006334926,106.6881506145,"15 Đại Lộ Bình Dương, P. Phú Thọ, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,06:00 - 11:00,Món Việt,no,no,no,15.000đ - 20.000,7.0,9.0,3.0,0.0,4.2
29,Cây Dừa - Cơm Tấm,10.9905314,106.6510174,"2 Cách Mạng Tháng 8, P. Chánh Mỹ, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,Món Việt,no,no,no,15.000đ - 25.000,8.0,7.5,8.0,0.0,4.5
35,"Lâm Phát - Cơm Tấm, Bún Thịt Nướng & Ăn Vặt",10.9469731,106.7203237,"1A4/B/18 KDC Đại Ngàn, P. Thuận Giao, Thị Xã Thuận An, Bình Dương",Quán ăn,"Cơm Tấm ,  Bún ,  Ăn vặt - Ăn nhẹ ,  Cơm ,  Cá/bò viên",10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,no,no,no,,10.0,10.0,10.0,0.0,5.0
36,,,,,,,,,,,,,,,yes,yes,yes,,0.0,0.0,0.0,0.0,0.0
53,555 - Cơm Tấm & Bún Thịt Nướng,10.9617705,106.6661776,"404 Đường 30 Tháng 4, P. Phú Thọ, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Cơm Tấm ,  Bún ,  Cơm",07:00 - 10:30,07:00 - 10:30,07:00 - 10:30,07:00 - 10:30,07:00 - 10:30,07:00 - 10:30,07:00 - 10:30,Món Việt,no,no,no,18.000đ - 25.000,8.0,8.0,8.0,0.0,4.5
62,Cơm Tấm Chez Nguyên,11.129871,106.604163,"28 Đường D1, KP. 4, P. Mỹ Phước, Thị Xã Bến Cát, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,Món Việt,no,no,no,23.000đ - 30.000,1.0,1.0,1.0,0.0,0.4
69,Cơm Tấm Hạnh Quyên,10.978474,106.659892,"286 Thích Quảng Đức, P. Phú Cường, Thành Phố Thủ Dầu Một, Bình Dương",Quán ăn,"Cơm Tấm ,  Cơm",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,Món Việt,no,no,no,15.000đ - 44.000,5.0,7.0,7.0,0.0,4.2
