RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
1,Quán Nướng Ngói - Tạ Quang Bửu,10.734721,106.66487,"Gầm Cầu Tạ Quang Bửu, Quận 8, TP. HCM","Quán ăn, ","Đặc sản rừng, Đặc sản vùng, Thức uống, Thịt Thỏ, ","Món Việt, ",18:00 - 12:00,18:00 - 12:00,18:00 - 12:00,18:00 - 12:00,18:00 - 12:00,18:00 - 12:00,18:00 - 12:00,no,no,yes,80.000 -200.000,6.2,0.0,6.4,5.6,0.0
2,Hòa Hảo - Cơm Chay - Chánh Hưng,10.743638,106.668808,"454 Chánh Hưng, P. 5, Quận 8, TP. HCM","Quán ăn, ","Món chay, ","Món Việt, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,no,20.000 -30.000,9.0,9.3,7.5,8.2,0.0
3,Mì Quảng 3 Anh Em - Pasteur,10.769942,106.702877,"20 Pasteur, P. Nguyễn Thái Bình, Quận 1, TP. HCM","Quán ăn, ","Món nước, Mì, Thức uống, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,yes,no,yes,25.000 -66.000,6.5,6.7,6.3,4.1,0.0
4,Mì Quảng 3 Anh Em - Nguyễn Thị Tần,10.746965,106.685716,"90 Nguyễn Thị Tần, P. 2, Quận 8, TP. HCM","Quán ăn, ","Món nước, Mì, ","Món Việt, Món Miền Trung, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,no,no,no,20.000 -50.000,6.8,7.0,6.8,6.9,0.0
5,Mì Quảng 3 Anh Em - Phan Huy Ích,10.8419629,106.6385609,"402 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM","Quán ăn, ","Món nước, Mì, ","Món Miền Trung, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,yes,no,no,20.000 -35.000,6.8,6.7,0.0,6.5,0.0
6,Mì Quảng 3 Anh Em - Phạm Văn Đồng,10.815072,106.6811769,"60 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM","Quán ăn, ","Bún, Mì, Món nước, ","Món Miền Trung, ",00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,no,no,no,30.000 -50.000,0.0,6.8,6.6,6.2,0.0
7,Mì Quảng 3 Anh Em - Eastmark City,10.7996434,106.8277998,"E1.08 CC MT Eastmark City, P. Long Trường, Tp. Thủ Đức, TP. HCM","Quán ăn, ","Thịt Gà, Hải sản, Món nước, Mì, Ăn vặt - Ăn nhẹ, ","Món Miền Trung, Món Quảng, ",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,no,no,no,30.000 -60.000,0.0,0.0,0.0,3.6,0.0
8,Mì Quảng 3 Anh Em - Dương Thị Mười,10.859194,106.629998,"65 Dương Thị Mười, P. Tân Chánh Hiệp, Quận 12, TP. HCM","Quán ăn, ","Tôm, Thịt Bò, Bún, Hải sản, Bào Ngư, Món nước, Mì, ","Món Việt, ",06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,06:00 - 21:00,yes,no,yes,27.000 -40.000,10.0,10.0,10.0,10.0,0.0
9,Mì Quảng 3 Anh Em - Hoàng Diệu,10.760884,106.700139,"L18 Hoàng Diệu, P. 6, Quận 4, TP. HCM","Quán ăn, ","Thịt Gà, Thịt Heo, Hải sản, Món nước, Ăn vặt - Ăn nhẹ, ","Món Miền Trung, ",00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,00:01 - 23:59,yes,no,no,30.000 -50.000,7.0,7.0,7.0,7.0,0.0
