RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
1,Bún Đậu Mắm Tôm 3 Phải - Trần Văn Hoài,10.026881,105.770628,"146H Trần Văn Hoài, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Thịt Bò ,  Bún ,  Thịt Heo ,  Món nước ,  Ăn vặt - Ăn nhẹ ,  Nem",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,Món Bắc,yes,no,yes,10.000 - 115.000,7.6,7.7,7.5,4.5,4.1
2,Quán Cuội - Bún Đậu Mắm Tôm - Đường 30/4,10.0163468,105.7645264,"566 Đường 30/4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quán ăn,Bún,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,35.000 - 65.000,10.0,10.0,10.0,4.5,5.0
3,Quán Cuội - Bún Đậu Mắm Tôm - Nguyễn Văn Cừ Nối Dài,10.0318735,105.7535202,"371A Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,Bún,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,35.000 - 65.000,0.0,0.0,0.0,4.5,0.0
4,3 Hiền - Bún Đậu Mắm Tôm - Ngô Văn Sở,10.033987,105.785801,"25 Ngô Văn Sở, P. Tân An, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bún ,  Ăn vặt - Ăn nhẹ ,  Nem",10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,Món Bắc,no,no,no,10.000 - 35.000,8.0,7.2,7.2,4.5,3.7
5,Hương Việt - Bún Đậu Mắm Tôm - 275 Đồng Văn Cống,10.054777,105.760772,"275 Đồng Văn Cống, P. An Thới, Quận Bình Thủy, Cần Thơ",Quán ăn,"Bún ,  Món nước",09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,09:30 - 21:00,Món Bắc,no,no,no,20.000 - 40.000,7.6,7.4,7.5,4.5,3.8
6,Bún Đậu Mắm Tôm Đầu Bự - Trần Hưng Đạo,10.0351732,105.7737199,"218/52 Trần Hưng Đạo, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Quán ăn,Bún,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,,no,no,no,36.000 - 116.000,0.0,0.0,0.0,4.5,0.0
7,Bún Đậu Mắm Tôm 3 Phải - Mậu Thân,10.0402699,105.7683911,"28 Mậu Thân, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Bún ,  Thịt Heo ,  Ăn vặt - Ăn nhẹ ,  Nem",10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,"Món Bắc ,  Hà Nội",no,no,yes,10.000 - 115.000,9.5,8.0,8.0,4.5,3.9
8,Bún Đậu Mắm Tôm Phố Bắc,10.03482,105.7651,"Cách Quán ALO 100 Khoảng 150m, Đường Hồ Bún Xáng, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,Bún,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
