RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
1,Ốc Ngon - Quốc Lộ 1A,10.9628189820796,106.940288990736,"2469 Ấp Thanh Hóa, Quốc Lộ 1A, Huyện Trảng Bom, Đồng Nai","Quán ăn, ","Hải sản, Nghêu - Sò - Ốc, ","Món Việt, ",15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,15:00 - 23:00,no,no,yes,20.000 -50.000,8.0,7.8,8.5,4.3,0.0
2,Quán Ăn Má Nồng - Bún Cá Ngừ Đại Dương,10.9523235,106.9990364,"Đường 29 Tháng 4, Trảng Bom, Huyện Trảng Bom, Đồng Nai","Quán ăn, ","Thịt Bò, Hải sản, Món nước, Sinh tố - Nước ép, Cơm văn phòng, ","Món Miền Trung, ",06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,06:00 - 13:00,no,no,yes,25.000 -35.000,8.2,8.0,9.2,4.1,0.0
3,Like Chicken,10.9523317450679,107.0005395219109,"131 Đường 29 Tháng 4, KP. 5, T.T Trảng Bom, Huyện Trảng Bom, Đồng Nai","Quán ăn, ",,,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,no,10.000 -55.000,10.0,9.5,9.5,4.9,0.0
4,Trà Sữa Pa Tea,10.888001,106.987817,"Ấp 5, Xã An Viễn, Huyện Trảng Bom, Đồng Nai","Café/Dessert, ","Thức uống, Trà sữa, ","Món Việt, ",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,no,no,no,15.000 -30.000,8.9,8.4,8.7,4.1,0.0
5,Phượng Son,10.913729,106.993172,"Thác Giang điền, Phường Cầu hoa, Huyện Trảng Bom, Đồng Nai","Nhà hàng, ",,,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,no,yes,yes,100.000 -330.000,6.8,7.3,7.8,4.3,0.0
6,Cà Kê Quán - Ăn Vặt & Ăn Nhẹ,10.946839,107.004993,"87 Đường 2 Tháng 9, Huyện Trảng Bom, Đồng Nai","Ăn vặt/vỉa hè, ","Ăn vặt - Ăn nhẹ, ","Món Á, Món Hàn, Món Thái, ",09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,yes,yes,yes,15.000 -30.000,7.0,6.5,6.8,3.7,0.0
7,Zodiac - Wings & Beers,10.944817,107.061464,"Quốc Lộ 1A, Xã Trung Hòa, Huyện Trảng Bom, Đồng Nai","Nhà hàng, ","Thịt Gà, Gà rán, Thức uống, Bia, ","Món Việt, ",16:30 - 22:00,16:30 - 22:00,16:30 - 22:00,16:30 - 22:00,16:30 - 22:00,16:30 - 22:00,16:30 - 22:00,no,no,yes,31.000 -250.000,10.0,10.0,10.0,4.8,0.0
8,Cherry - Coffee & Tea,10.9649080524974,106.9497481361031,"294 Tỉnh Lộ 767, Ấp An Chu, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Ăn vặt - Ăn nhẹ, Cơm, ","Món Việt, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,no,yes,20.000 -38.000,9.5,8.5,9.5,4.7,0.0
9,Simple. Tea,10.9594989943168,106.9529235363006,"Xã Bắc Sơn, Trảng Bom, Huyện Trảng Bom, Đồng Nai","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, Thức uống, ","Món Việt, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,12.000 -25.000,8.5,8.5,7.5,4.5,0.0
10,Linus & Lucy Coffee House,10.947723,107.008016,"34 Đường 2 Tháng 9, Huyện Trảng Bom, Đồng Nai","Café/Dessert, ","Café - Kem, ","Món Việt, ",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,no,no,yes,15.000 -45.000,7.5,7.5,7.5,4.4,0.0
11,Milano Cinema Coffee - Đường Số 20,10.939045,107.076219,"Đường Số 20, Ấp Hưng Long, Xã Hưng Thịnh, Huyện Trảng Bom, Đồng Nai","Café/Dessert, ","Café - Kem, Thức uống, ","Món Việt, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,9.000 -50.000,9.5,9.0,8.5,4.8,0.0
12,Nướng No Nê - Buffet 99k,10.9575426,107.0055184,"17 Lê Đại Hành, KP 3, Huyện Trảng Bom, Đồng Nai","Buffet, ",,"Món Việt, ",17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,17:00 - 23:00,yes,yes,yes,99.000 -99.000,8.0,8.0,8.5,4.5,0.0
13,Bún Riêu Cô Tám Chợ San Lim,10.9597201906273,107.0304397121071,"93 Đường 6A, Huyện Trảng Bom, Đồng Nai","Quán ăn, ","Thịt Heo, ","Món Việt, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,no,no,no,15.000 -20.000,9.5,9.0,8.0,4.7,0.0
