RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
1,Morico - Contemporary Japanese Lifestyle - Crescent Mall,10.727857,106.718174,"Tầng 2 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM","Nhà hàng, Café/Dessert, ","Bánh - Kẹo, Café - Kem, Sinh tố - Nước ép, Cơm văn phòng, ","Món Nhật, ",11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,11:00 - 18:00,yes,yes,yes,70.000 -165.000,8.2,7.9,8.0,4.0,0.0
2,Sumo BBQ - SC VivoCity - Buffet Nướng & Lẩu,10.7300774,106.7036149,"Tầng 2 Lô 02 - 39 SC Vivo City, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM","Buffet, ","Tôm, Bò nướng, Thịt Bò, Hải sản, Lẩu, Nghêu - Sò - Ốc, Mực, ","Món Á, Món Nhật, ",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,yes,yes,yes,300.000 -407.000,8.6,8.4,8.5,5.0,0.0
3,Papas' Chicken - Phú Mỹ Hưng,10.7307219,106.7086755,"S37-1 Hưng Vượng 2, Bùi Bằng Đoàn, P. Tân Phong, Quận 7, TP. HCM","Nhà hàng, ","Thịt Gà, Gà rán, Lẩu, Pizza & Pasta, Xúc xích, Fastfood - Thức ăn nhanh, ","Món Á, Món Hàn, ",,,,,,,,no,yes,yes,100.000 -165.000,7.7,6.5,6.9,3.4,0.0
4,Pizza 4P’s - Pizza Kiểu Nhật - Nguyễn Văn Linh,10.731467,106.715654,"Lô MD2, Nguyễn Văn Linh, P Tân Phú, Quận 7, TP. HCM","Nhà hàng, ","Pizza & Pasta, ","Món Á, Món Âu, Món Nhật, Ý, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,no,yes,yes,200.000 -300.000,8.6,8.5,8.6,4.2,0.0
5,Mr.BBQ - Ẩm Thực Hàn Quốc,10.725606,106.720329,"Nhà Hàng Mr.BBQ & Ssam, 137 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM","Nhà hàng, ","Thịt Gà, Bò nướng, Thịt Heo, Thịt Bò, Sườn nướng, Sushi & Sashimi, Cơm, ","Món Á, Món Hàn, ",09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,no,no,no,150.000 -330.000,7.4,7.5,7.3,4.0,0.0
6,Seol Hwa - Bingsu Sữa Bào Tuyết Hoa - Sky Graden,10.7292306,106.7067192,"28/1 Phạm Văn Nghị, Khu Phố Sky Garden 1, P. Tân Phong, Quận 7, TP. HCM","Café/Dessert, ","Bánh mì, Đậu hũ, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Bánh tằm, Xúc xích, Fastfood - Thức ăn nhanh, ","Món Á, Món Hàn, ",12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,12:00 - 21:30,no,no,yes,70.000 -200.000,8.8,8.1,7.9,4.6,0.0
7,Shabu Ya - SC VivoCity,10.730089,106.703522,"Tầng 4 - SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM","Nhà hàng, Buffet, ","Thịt Gà, Tôm, Thịt Heo, Thịt Bò, Lẩu, Sushi & Sashimi, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,yes,yes,210.000 -280.000,7.7,7.5,7.7,4.5,0.0
8,KOI Thé - SC VivoCity,10.7299087,106.7034179,"Tầng 1 - 01 - 16, Khu F SC VivoCity, 1058 Nguyễn Văn Linh, KP. 1, P. Tân Phong, Quận 7, TP. HCM","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Á, Singapore, ",,,,,,,,yes,no,no,40.000 -60.000,7.8,7.5,6.7,3.4,0.0
8,KOI Thé - Vincom Mega Mall Thảo Điền,10.802127,106.740698,"B1-K11-K12-K13, Vincom Mega Mall Thảo Điền, 161 Xa Lộ Hà Nội, P. Thảo Điền, Tp. Thủ Đức, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Á, Singapore, ",09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,09:30 - 22:00,no,no,yes,40.000 -60.000,8.0,7.7,7.4,3.4,0.0
8,KOI Thé - AEON Mall Bình Tân,10.7429605,106.6118665,"Lô F29B, Tầng 1, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông, Quận Bình Tân, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ","Món Á, Singapore, ",10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,09:00 - 21:30,09:00 - 21:30,no,no,yes,40.000 -60.000,7.8,7.5,7.1,3.4,0.0
