RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
1,Ding Tea - Tân Phú,10.796414,106.6353,"68/10 Trần Tấn, P. Tân Sơn Nhì, Quận Tân Phú, TP. HCM","Café/Dessert, ","Trà, Thức uống, Trà sữa, Sữa, ","Món Á, Đài Loan, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,25.000 -50.000,7.6,7.6,7.8,4.3,0.0
2,Marukame Udon - AEON Mall Tân Phú,10.801392,106.617929,"Tầng 3 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM","Nhà hàng, ","Bún, Mì, Món nước, Sushi & Sashimi, Cơm, ","Món Á, Món Nhật, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,60.000 -165.000,8.0,7.6,7.6,3.7,0.0
3,Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online,10.7879041,106.620884,"127/5/9 Lê Thúc Hoạch, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM","Shop Online, ","Thịt Gà, Ăn vặt - Ăn nhẹ, Nem, ","Món Việt, ","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59","00:01 - 02:30, 05:30 - 23:59",yes,yes,yes,20.000 -50.000,9.8,9.8,9.8,3.6,0.0
4,Food Court - AEON Mall Tân Phú,10.802165,106.618242,"Tầng Trệt AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM","Nhà hàng, ","Thịt Gà, Thịt Bò, Thịt Heo, Hải sản, ","Món Á, Món Âu, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,no,no,yes,30.000 -22.000,7.9,7.3,7.4,4.4,0.0
5,Biscotti - Bánh Hạt Dinh Dưỡng - Phú Thọ Hòa,10.785014,106.632388,"156/74 Phú Thọ Hòa, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM","Café/Dessert, ","Ăn vặt - Ăn nhẹ, ","Quốc tế, ",,,,,,,,no,no,no,60.000 -150.000,10.0,10.0,10.0,0.0,0.0
6,Tiệm Bánh Biscotti - Phú Thọ Hoà,10.7851681,106.6323625,"156/74 Phú Thọ Hoà, P. Phú Thọ Hoà, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, ","Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, ","Món Việt, ",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 17:00,10:00 - 17:00,no,yes,yes,60.000 -100.000,10.0,10.0,10.0,5.0,0.0
7,Hotpot Story AEON Mall Tân Phú,10.8039503,106.6183813,"Lô T49, Tầng 3, AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, TP. HCM","Nhà hàng, Buffet, ","Thịt Bò, Hải sản, Lẩu, ","Món Á, Món Thái, ",10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,no,no,yes,50.000 -300.000,7.5,7.2,7.3,2.9,0.0
8,Ròm - Chân Gà Rút Xương Ngâm Sả Tắc,10.787828,106.620761,"127/5 Lê Thúc họach, P. Phú Thọ Hòa, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, ","Thịt Gà, Ăn vặt - Ăn nhẹ, ","Món Việt, ",06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,06:00 - 23:59,no,yes,yes,70.000 -220.000,10.0,10.0,10.0,5.0,0.0
9,Ốc Nhớ Sài Gòn - Trịnh Đình Trọng,10.774874,106.644105,"136 Trịnh Đình Trọng, Quận Tân Phú, TP. HCM","Quán ăn, ","Tôm, Thịt Ếch, Hải sản, Lẩu, Nghêu - Sò - Ốc, Mực, Gỏi, Đặc sản vùng, ","Món Việt, ",16:00 - 23:00,16:00 - 23:00,16:00 - 23:00,16:00 - 23:00,16:00 - 23:00,16:00 - 23:00,16:00 - 23:00,no,no,no,50.000 -150.000,7.7,7.0,7.0,3.9,0.0
10,"Kem Tươi, Kem Chiên & Cá Viên Chiên - Nguyễn Xuân Khoát",10.7889393,106.6336602,"102C3 Nguyễn Xuân Khoát, P. Tân Thành, Quận Tân Phú, TP. HCM","Ăn vặt/vỉa hè, ","Café - Kem, Dimsum, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, ","Món Việt, ",08:30 - 23:30,08:30 - 23:30,08:30 - 23:30,08:30 - 23:30,08:30 - 23:30,08:30 - 23:30,08:30 - 23:30,no,yes,yes,5.000 -12.000,7.2,6.7,6.9,2.9,0.0
