RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Shopee_points(5),Foody_points(5)
1,Trà Sữa Maycha - 15C Mậu Thân,10.033914,105.773739,"15C Mậu Thân, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,4.5,0.0
2,Trà Sữa Du Nhiên - Lý Chính Thắng,10.022962,105.767139,"27 Lý Chính Thắng, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà chanh ,  Sinh tố - Nước ép ,  Thức uống ,  Trà sữa",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,20.000 - 35.000,0.0,0.0,0.0,4.5,0.0
3,Trà Sữa An Viên - Đường 30 Tháng 4,10.0277426,105.7772835,"188C Đường 30 Tháng 4, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Trà ,  Home-made ,  Thức uống ,  Trà sữa ,  Sữa",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,yes,no,no,16.000 - 25.000,8.1,8.1,7.0,4.5,4.0
